year,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2010,0,0,0,1,58.818111,104.68611,24.821171,4.4073744,11.927275,190.21335,11.965006,51.74622,496.8775,2135.5957,52.090504
2010,0,0,0,2,84.9683,147.32779,27.66189,5.8387589,27.021353,200.65721,16.926123,55.713001,519.25122,1966.217,74.009201
2010,0,0,0,3,95.700531,137.85872,30.429928,7.387979,28.269772,228.98843,30.555845,57.675049,596.47107,1987.4963,119.02279
2010,0,0,0,999,78.833496,129.68779,27.449112,5.7752781,22.079775,205.01532,19.044937,54.876984,533.26685,2031.6609,79.065422
2010,0,0,1,1,77.482567,111.19987,31.599152,5.8223925,20.930145,229.58012,21.557657,57.442978,530.39783,2137.3286,74.166298
2010,0,0,1,2,109.51874,150.15094,34.826591,6.1992369,40.804779,225.31894,33.056812,62.682919,578.92596,2071.179,114.05781
2010,0,0,1,3,112.22304,124.17301,35.518211,6.7185206,43.128433,247.3614,58.370739,67.584541,726.51923,2380.2996,190.69769
2010,0,0,1,999,102.68484,130.41589,34.301777,6.3091688,36.817352,234.97421,40.107971,63.306152,624.59833,2208.1572,134.15541
2010,0,0,999,1,66.11512,107.23271,27.471071,4.9605861,15.447013,205.60408,15.715322,53.973408,509.98251,2136.2732,60.721195
2010,0,0,999,2,96.648338,148.67091,31.070545,6.0102587,33.578911,212.3902,24.60041,59.028984,547.64185,2016.1533,93.062599
2010,0,0,999,3,104.91482,130.22646,33.267563,7.0146346,36.556164,239.23468,46.06768,63.201385,668.9964,2206.5552,158.99451
2010,0,0,999,999,90.225777,130.03557,30.722197,6.0302839,29.118986,219.3248,29.105417,58.903065,576.89014,2115.9622,105.37843
2010,0,1,0,1,67.440163,162.89615,34.046192,6.1447735,16.906248,129.01256,10.08462,53.383106,476.00854,1963.2157,37.26894
2010,0,1,0,2,90.369133,215.29736,32.591293,7.0436134,34.435711,112.88432,11.250634,56.257267,458.59027,2023.3845,43.319054
2010,0,1,0,3,102.5306,199.93684,37.549873,8.2302427,37.650387,130.3972,21.561705,61.286812,556.15924,2244.0696,75.319412
2010,0,1,0,999,88.031387,195.76306,34.624092,7.1854258,30.648041,123.10121,14.31928,57.11692,495.49106,2079.3296,52.170586
2010,0,1,1,1,87.338486,168.32466,43.398106,6.845531,29.305918,161.37019,17.177904,59.587353,503.05847,2088.7097,51.812618
2010,0,1,1,2,113.2603,209.6429,40.840225,6.7641964,49.355026,140.23874,21.527475,63.166176,510.86005,2262.3767,68.398468
2010,0,1,1,3,117.86479,180.58379,42.073441,6.7251887,54.548813,158.31703,36.626183,70.80172,654.15802,2724.6406,114.34145
