year,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
1995,0,0,0,1,67.013474,132.27831,27.400007,7.610611,21.044889,171.35097,17.500658,46.241146,444.17529,1753.1879,58.00975
1995,0,0,0,2,92.011627,173.46475,31.114025,6.7844324,38.871353,181.04677,24.036215,48.942921,470.147,1600.4248,84.451141
1995,0,0,0,3,105.86454,177.72467,46.839748,10.253428,47.91428,167.92122,38.878559,51.66473,537.77277,1841.1725,119.19904
1995,0,0,0,999,83.591537,155.67863,32.744225,7.8905053,32.690716,173.88136,24.200209,48.291039,472.62082,1720.4761,79.781082
1995,0,0,1,1,85.64164,126.48439,34.816242,7.778975,30.098135,213.98409,32.05632,54.063183,511.65149,1769.0631,89.05661
1995,0,0,1,2,108.87486,145.18834,37.385166,7.1092067,48.373428,231.08392,50.566738,59.403858,586.0296,1893.5425,146.58615
1995,0,0,1,3,111.44339,131.92059,43.975002,10.022014,55.572819,236.12701,80.926308,63.543079,698.94135,2244.1128,206.8933
1995,0,0,1,999,101.68417,134.6127,38.558353,8.2487993,44.333763,226.77556,53.675278,58.858616,595.68658,1960.1458,145.61948
1995,0,0,999,1,73.561104,130.24181,30.006748,7.6697898,24.227022,186.33612,22.616838,48.99052,467.89258,1758.7679,68.92244
1995,0,0,999,2,99.141052,161.51009,33.765335,6.9217405,42.888634,202.20143,35.252769,53.365589,519.13977,1724.3489,110.72053
1995,0,0,999,3,108.73298,154.17392,45.366806,10.134443,51.852016,202.9901,60.497944,57.772137,620.63965,2048.3494,164.28816
1995,0,0,999,999,91.132935,146.89792,35.167675,8.0398502,37.543781,195.92879,36.486038,52.695827,523.91724,1820.3755,107.22392
1995,0,1,0,1,72.11525,194.96471,34.91856,8.5190306,26.724094,109.92957,12.907424,46.693668,408.2356,1639.0095,38.064472
1995,0,1,0,2,94.12101,235.93268,35.538975,7.3745642,45.727634,109.62707,16.191929,49.652473,419.78113,1675.8352,51.843334
