year,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2005,0,0,0,1,61.483181,114.76308,27.883478,4.9716873,16.147413,178.04041,15.927064,50.441311,475.65402,1808.7207,52.825989
2005,0,0,0,2,91.081482,156.61955,31.91781,6.0310607,35.78949,184.24017,21.94669,54.309143,500.28845,1718.8973,74.453362
2005,0,0,0,3,100.38639,153.37456,32.670929,8.1913137,37.96212,193.61281,34.319435,55.161491,567.10297,1784.9366,114.73035
2005,0,0,0,999,82.588257,140.09653,30.618446,6.2297072,29.052238,184.50325,23.10231,53.099255,509.46875,1770.6062,77.456558
2005,0,0,1,1,81.693451,118.92545,34.858345,6.5086651,27.508039,223.22237,27.602011,56.728951,521.74628,1823.965,77.689148
2005,0,0,1,2,113.97508,149.45934,38.34864,6.5073066,50.158676,227.30746,41.088791,61.927998,578.78876,1883.769,122.76025
2005,0,0,1,3,115.84934,132.03185,35.304195,7.2923484,51.654289,226.17834,63.145527,64.715691,707.29718,2248.3784,191.48763
2005,0,0,1,999,105.95847,134.66121,36.261616,6.8026958,44.601608,225.77954,45.734318,61.571091,611.67267,2004.6346,136.41223
2005,0,0,999,1,69.110443,116.33394,30.51576,5.5517359,20.434862,195.09187,20.333136,52.81424,493.04904,1814.4739,62.209232
2005,0,0,999,2,101.55968,153.34239,34.861145,6.2490344,42.366138,203.95169,30.707857,57.796227,536.21735,1794.3577,96.562988
2005,0,0,999,3,108.63941,141.98334,34.076378,7.7115097,45.270027,210.99397,49.704746,60.260845,641.92865,2032.2888,155.69792
2005,0,0,999,999,93.242622,137.61859,33.191139,6.4909296,36.141117,203.32091,33.420128,56.961521,556.06299,1877.2985,104.33415
2005,0,1,0,1,69.341415,174.84883,37.130512,6.7401762,21.579027,118.41321,12.93148,51.898685,452.08475,1674.6293,36.447704
2005,0,1,0,2,96.473412,221.15401,37.548759,7.1171403,42.986176,108.87615,14.669411,54.960812,448.24515,1778.8146,44.906414
2005,0,1,0,3,105.92831,215.88464,38.797577,8.4469671,46.475323,112.59801,23.632523,58.301296,524.95959,2037.5513,72.524147
2005,0,1,0,999,91.147133,205.22408,37.819118,7.426084,37.514957,112.99957,16.998707,55.086105,473.93903,1829.4353,51.128719
2005,0,1,1,1,90.411491,174.25478,45.141621,7.590076,36.446083,159.60353,21.317957,58.349651,492.01837,1828.5516,53.698334
2005,0,1,1,2,117.79586,204.26009,44.159702,6.9478645,58.805397,150.31305,27.214382,62.870262,524.57758,2114.9214,77.575874
2005,0,1,1,3,118.91124,187.95499,40.531937,6.7091832,61.540241,146.57161,39.427341,67.917343,639.88422,2641.1675,116.82178
2005,0,1,1,999,112.66391,190.92606,42.765312,6.97472,55.417675,150.57458,31.376665,64.162483,568.6203,2287.6392,89.939064
2005,0,1,999,1,77.923172,174.60687,40.393402,7.0863366,27.634317,135.18987,16.347258,54.526134,468.34955,1737.3212,43.473812
2005,0,1,999,2,107.0257,212.79338,40.820454,7.0333676,50.814964,129.38289,20.877802,58.87513,486.02136,1945.1509,61.07423
2005,0,1,999,3,113.54129,199.50714,39.814579,7.4279585,55.309151,132.51959,32.894352,63.939995,592.34955,2391.5022,98.499565
2005,0,1,999,999,102.06287,197.9705,40.328388,7.1971011,46.597237,132.06186,24.29283,59.690666,521.97205,2061.8879,70.817703
