year,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2000,0,0,0,1,66.225449,125.21243,24.810291,5.5196171,19.803411,175.33145,17.30901,47.366856,452.07324,1740.5353,56.605873
2000,0,0,0,2,91.357224,166.71841,31.708138,6.8463778,39.185459,170.14238,22.875568,50.868584,477.79291,1738.7003,78.103828
2000,0,0,0,3,103.17843,170.1456,32.758224,12.153218,42.537895,184.46356,34.769436,51.358078,533.0694,1720.7007,117.16728
2000,0,0,0,999,84.137657,150.67989,29.165564,7.6624599,32.143887,175.91847,23.647894,49.566689,481.44373,1734.8463,79.330009
2000,0,0,1,1,86.366676,124.10394,31.52784,6.7585421,29.727371,214.29285,30.854671,54.391441,510.29706,1807.7113,84.865158
2000,0,0,1,2,111.82043,146.4725,38.204586,7.0491509,49.069256,227.79025,48.033955,59.931171,581.28357,1977.1925,138.4653
2000,0,0,1,3,115.34586,136.28497,34.737595,9.0783615,53.277252,227.70834,72.067513,62.646114,689.06073,2233.1094,197.13823
2000,0,0,1,999,105.28492,136.13017,34.970013,7.6630359,44.632339,223.64917,51.118839,59.182999,596.96198,2014.1394,142.44341
2000,0,0,999,1,73.57209,124.80811,27.260559,5.9715228,23.423237,189.54286,22.249872,49.929119,473.31076,1765.0382,66.91362
2000,0,0,999,2,100.42702,157.74492,34.587521,6.9362516,43.566196,195.69331,34.026379,54.885342,523.66248,1844.4059,104.85751
2000,0,0,999,3,109.38082,152.88503,33.76722,10.585799,48.012321,206.50777,53.782269,57.112198,612.58655,1981.903,157.93277
2000,0,0,999,999,93.323509,144.35985,31.686872,7.6627097,37.568565,196.65152,35.580601,53.743778,531.62201,1856.1643,106.74492
2000,0,1,0,1,72.601845,187.35449,32.791126,7.2334008,25.199022,112.57172,13.241105,48.096325,423.46277,1631.4832,38.044704
2000,0,1,0,2,95.398422,231.37315,36.725063,7.0004129,45.450165,103.35343,15.282957,51.201241,425.48627,1787.5844,48.064514
2000,0,1,0,3,105.77631,233.51797,38.353489,9.2599525,50.13171,108.15146,23.687904,53.976768,487.37704,1958.8051,73.05835
2000,0,1,0,999,90.556999,216.70218,35.84127,7.7535276,39.79966,107.98654,17.072832,50.946968,443.19153,1784.2235,52.01405
2000,0,1,1,1,93.160248,179.11165,40.833267,7.8421755,38.467751,154.40393,23.424809,55.480103,478.3916,1834.6403,58.604927
2000,0,1,1,2,116.25096,200.11523,43.391899,6.8886166,58.115685,158.2984,32.22401,61.069611,533.37085,2243.3625,89.683586
2000,0,1,1,3,117.18067,191.91672,39.167137,7.0056067,63.712578,152.30518,45.218971,65.707703,622.51929,2631.9585,120.97628
2000,0,1,1,999,111.13417,191.77744,41.062309,7.1632042,55.719093,154.93063,35.422413,61.628334,556.5943,2304.3557,95.031883
2000,0,1,999,1,80.57885,184.15613,35.911613,7.4696159,30.347511,128.80333,17.192553,50.961357,444.77609,1710.3115,46.022415
2000,0,1,999,2,105.42636,216.34129,39.931129,6.94665,51.540985,129.77634,23.429871,55.946915,477.36771,2006.767,68.079033
2000,0,1,999,3,112.15373,210.2542,38.808491,7.9993038,57.726246,132.84259,35.72826,60.536808,562.94977,2335.2383,99.854462
