year,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2015,1,0,999,2,110.04588,135.20154,30.193258,6.3139725,35.397072,212.26076,31.905251,61.985107,627.19617,2249.021,102.13528
2015,1,0,999,3,112.61496,114.8775,31.830805,7.9336057,38.346073,202.05681,63.154907,67.989357,802.49487,2632.3884,178.08928
2015,1,0,999,999,89.217552,116.94376,29.496918,5.7738595,27.882885,211.26945,29.278126,59.628082,598.59137,2225.2556,88.964554
2015,1,1,0,1,75.717148,164.01038,36.216248,6.1114845,24.902315,126.3449,13.620558,55.774048,489.87778,2023.4561,38.477436
2015,1,1,0,2,109.57044,198.99844,35.535751,6.7144146,37.410839,112.39022,16.38872,60.966194,520.77069,2334.1636,49.832611
2015,1,1,0,3,116.87682,182.36635,40.041084,7.1905656,42.268353,105.83624,27.484217,68.183815,638.64392,2833.083,78.681656
2015,1,1,0,999,90.929268,177.00298,36.435532,6.4214673,30.766619,119.67452,16.049297,58.7953,516.31079,2211.8154,46.559353
2015,1,1,1,1,100.72409,167.24524,40.50404,5.8950639,36.053715,142.83038,20.537931,63.907219,533.79639,2214.457,51.26968
2015,1,1,1,2,134.74519,199.10716,34.769264,5.7428274,48.040375,121.16351,24.268515,67.465553,601.10822,2630.2815,74.347977
2015,1,1,1,3,122.19828,177.70403,35.490932,5.118813,49.384727,125.71194,41.134369,72.846756,734.06976,3068.6746,118.30564
2015,1,1,1,999,116.87687,180.3777,37.493248,5.6821961,42.936443,131.83171,26.079691,66.980202,598.36926,2534.1985,73.072197
2015,1,1,999,1,88.199959,165.62514,38.356602,6.0034533,30.468801,134.57402,17.073528,59.833916,511.80081,2118.7986,44.862988
2015,1,1,999,2,124.29093,199.06201,35.087559,6.146296,43.626274,117.52025,20.996292,64.766579,567.74664,2507.3132,64.167542
2015,1,1,999,3,120.60393,179.10089,36.854195,5.7395267,47.252605,119.75702,37.044674,71.449707,705.47943,2998.0894,106.43398
2015,1,1,999,999,105.47864,178.89526,37.028614,6.0069427,37.590496,126.49132,21.67355,63.38475,562.32275,2392.5825,61.425663
2015,1,999,0,1,71.02919,141.36363,32.42601,5.5509496,22.197271,156.59402,14.584077,54.757641,500.50259,2056.7053,44.797855
2015,1,999,0,2,104.87778,177.55356,33.668507,6.6278543,34.904732,144.21542,18.774961,60.091499,539.51465,2281.5168,59.588566
2015,1,999,0,3,114.57752,164.04904,38.448814,8.2384596,39.831486,130.12503,32.789528,67.047791,664.27222,2741.1282,93.331848
2015,1,999,0,999,85.493736,154.3817,33.410419,6.1445894,27.759293,150.22368,17.688267,57.593273,528.81451,2193.2778,54.142395
2015,1,999,1,1,96.088989,147.90266,37.287346,5.7714009,32.952652,171.0141,22.776573,62.935547,547.74548,2193.8264,59.836956
2015,1,999,1,2,131.55135,181.73668,33.585148,5.8682165,45.922714,147.19205,28.443502,66.857506,620.60645,2542.894,87.687531
