year,female,age,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2015,0,2,0,1,55.330551,63.416885,13.094599,5.3901005,6.0852194,84.478203,14.34635,53.448921,573.91803,2420.0212,54.050926
2015,0,2,0,2,85.832428,93.383316,16.235102,7.849535,11.890716,81.427216,21.407728,59.2286,674.69727,2448.6455,83.272263
2015,0,2,0,3,103.29739,89.689186,21.137339,14.341054,16.541389,69.403694,41.203457,65.613083,849.81555,2807.6792,149.97037
2015,0,2,0,999,67.379822,73.520477,14.593344,6.7844014,8.488905,82.418327,18.445858,55.987823,623.49371,2459.824,69.749702
2015,0,2,1,1,77.350159,74.049179,15.887992,6.6987109,11.127439,95.271324,23.344995,61.743065,651.76654,2447.2393,79.299606
2015,0,2,1,2,116.47031,106.08939,18.480494,7.7053642,19.348459,88.401588,34.61533,66.829147,794.03894,2575.2405,139.22745
2015,0,2,1,3,117.06356,89.678322,21.124863,8.3741245,23.093895,92.496658,64.729401,72.261108,997.96674,2950.739,256.90082
2015,0,2,1,999,95.19355,86.015221,17.478739,7.2602777,15.444632,92.796021,33.178238,64.902122,748.28058,2564.1663,124.93291
2015,0,2,999,1,65.245407,68.20433,14.35239,5.9793334,8.3555984,89.338058,18.398203,57.183556,608.97119,2432.2769,65.419746
2015,0,2,999,2,101.87988,100.03848,17.411188,7.7740216,15.796919,85.080246,28.325583,63.209602,737.20587,2514.9531,112.58036
2015,0,2,999,3,112.22311,89.682144,21.12925,10.472211,20.789907,84.376732,56.457226,69.923531,945.87396,2900.4365,219.30202
2015,0,2,999,999,81.135681,79.700012,16.020376,7.0197563,11.929004,87.550835,25.732063,60.396572,685.20966,2511.4287,97.041702
2015,0,7,0,1,68.201775,110.84155,26.070967,4.7027106,14.488093,253.82043,17.95479,55.201721,515.29242,1964.0284,56.57169
2015,0,7,0,2,97.58815,140.03214,29.270813,6.6467962,28.071592,258.54166,26.211536,60.122055,558.20453,2023.9741,82.478165
2015,0,7,0,3,108.1023,125.31966,36.39209,12.203233,36.984272,225.81003,49.770756,66.440712,675.04449,2349.6389,138.86807
2015,0,7,0,999,79.373833,119.84438,27.785135,5.8465748,19.989708,252.74911,22.809612,57.451889,540.0575,2012.1508,70.344528
2015,0,7,1,1,90.74263,118.1749,32.290653,5.6097779,26.467112,264.8688,29.704735,62.802788,553.26953,2011.6108,80.377426
2015,0,7,1,2,121.19498,143.32509,31.196585,6.5616622,43.329731,252.14032,42.684666,66.974159,625.12158,2154.6833,129.27502
2015,0,7,1,3,108.67242,111.08159,32.650139,7.4101624,46.482567,250.56046,78.930702,72.715172,786.62531,2519.9106,225.99254
2015,0,7,1,999,102.7424,124.58565,32.019913,6.1830029,34.723694,258.76428,41.464317,65.638,612.11169,2135.7512,118.31356
2015,0,7,999,1,78.348305,114.14258,28.870693,5.1110172,19.880323,258.79373,23.243904,58.62326,532.38739,1985.4471,67.28759
2015,0,7,999,2,109.98276,141.76108,30.281927,6.6020975,36.082771,255.18069,34.860638,63.719704,593.33887,2092.6021,107.04852
2015,0,7,999,3,108.47508,116.00993,33.94537,9.0692263,43.194847,241.99341,68.837341,70.54335,748.00299,2460.9731,195.83545
2015,0,7,999,999,90.966171,122.19636,29.885862,6.0134654,27.298731,255.73303,32.063568,61.512737,575.80109,2073.4646,94.140312
2015,0,12,0,1,64.424049,125.12623,28.752712,4.2626433,15.978218,309.68512,16.052191,54.749886,489.76227,1844.8572,50.039764
2015,0,12,0,2,89.566338,149.50102,30.785202,5.6956849,30.716908,322.86185,22.738262,59.463112,517.3194,1931.7938,70.74662
2015,0,12,0,3,97.676193,132.86197,38.510517,9.2339706,40.925007,287.29776,41.916695,65.523819,613.35974,2262.4324,115.34641
2015,0,12,0,999,73.967056,132.33646,30.11322,5.0628672,22.026867,311.36911,20.008223,56.917149,507.4834,1903.0674,61.058834
2015,0,12,1,1,84.135582,128.37581,35.985809,4.9584141,29.668598,321.87823,26.730286,62.243626,517.98315,1905.4862,69.494064
2015,0,12,1,2,109.12461,147.77174,32.95034,5.6036086,48.005638,313.9252,36.844929,65.938728,569.64349,2075.7366,107.53122
2015,0,12,1,3,96.709053,116.50297,34.156918,5.9287119,52.076183,308.22574,66.658089,71.463867,711.48407,2444.8547,184.92587
2015,0,12,1,999,93.696457,132.31619,34.775906,5.3091526,38.80521,317.28256,36.205605,64.841751,564.70007,2043.6244,99.540497
2015,0,12,999,1,73.34063,126.59618,32.024628,4.5773773,22.171108,315.20071,20.882463,58.139702,502.52808,1872.2828,58.839985
2015,0,12,999,2,99.873093,148.58974,31.92618,5.6471629,39.827667,318.15244,30.172148,62.875614,544.89294,2007.6483,90.131248
2015,0,12,999,3,97.040138,122.10328,35.647324,7.0602298,48.258705,301.06128,58.188152,69.430359,677.89233,2382.4045,161.10614
2015,0,12,999,999,83.806206,132.32635,32.438526,5.1856909,30.394312,314.31818,28.085939,60.869186,536.01764,1973.1639,80.249832
2015,0,17,0,1,63.778797,134.59868,29.831367,4.39429,16.528082,293.93677,14.86415,54.806068,480.55139,1819.2623,44.701473
2015,0,17,0,2,87.364532,157.5448,31.766541,5.6533532,31.447037,305.89389,20.479143,59.488056,502.19437,1938.3916,61.626526
2015,0,17,0,3,94.083679,139.24907,40.022961,8.3045273,42.062965,275.82309,36.412903,65.698364,589.87085,2293.1824,98.887215
2015,0,17,0,999,72.876129,141.29591,31.245947,5.0787234,22.834538,295.64578,18.27293,57.034847,495.96768,1893.0353,54.042683
2015,0,17,1,1,82.50296,135.80585,37.729694,4.9037004,30.786518,309.67758,24.481791,62.34259,505.62024,1897.1101,61.160095
2015,0,17,1,2,105.34714,153.69792,33.62701,5.4178329,49.135494,303.86929,32.459126,66.17569,549.03693,2110.366,92.222954
2015,0,17,1,3,93.426804,123.66662,35.66523,5.5850792,53.978683,301.41812,57.138916,71.45269,680.8056,2487.5725,156.70982
2015,0,17,1,999,91.311455,139.26591,36.130692,5.1743174,40.257557,306.52701,32.35059,65.029861,548.02228,2060.5122,86.547035
2015,0,17,999,1,72.358994,135.15186,33.45071,4.6277232,23.061892,301.14987,19.271355,58.259621,492.039,1854.9355,52.243504
2015,0,17,999,2,96.956207,155.49292,32.758888,5.5277295,40.881824,304.814,26.869106,63.055149,527.17957,2030.1204,77.946251
2015,0,17,999,3,93.648521,128.92615,37.136089,6.5029721,49.956783,292.77905,50.143284,69.510437,650.11249,2421.9602,137.19302
2015,0,17,999,999,82.204117,140.26877,33.717552,5.1270924,31.650316,301.15149,25.396008,61.080196,522.30646,1977.776,70.48938
2015,0,22,0,1,66.089851,144.74525,30.332195,4.7152181,17.574961,248.53069,14.040382,55.275196,475.56757,1843.0325,39.859489
2015,0,22,0,2,90.009895,170.15614,32.14946,5.7289195,33.257179,248.84978,18.390501,60.063019,490.32239,2002.8053,52.860229
2015,0,22,0,3,95.426682,149.61563,41.382969,7.6821389,43.509014,229.52769,32.038311,66.595238,578.67639,2391.0381,85.507332
2015,0,22,0,999,75.67997,152.46944,31.887344,5.2831316,24.490137,246.84149,16.970865,57.705193,489.4483,1940.0743,47.854786
2015,0,22,1,1,85.223152,146.22398,39.27359,5.1013756,31.989872,265.36731,22.399862,62.955818,499.10779,1945.5293,53.859699
2015,0,22,1,2,107.65906,166.1723,34.014229,5.4354191,50.352116,254.68327,28.27397,66.57634,535.41235,2202.6265,78.705368
2015,0,22,1,3,95.273369,134.54311,38.077915,5.434186,55.182793,262.78018,49.567089,72.273056,667.01349,2594.6536,135.34201
2015,0,22,1,999,94.077187,150.48941,37.401043,5.2652483,41.85487,261.53568,29.010582,65.730934,539.96503,2140.4058,75.972977
2015,0,22,999,1,75.077263,145.43985,34.532204,4.896606,24.346024,256.43927,17.967051,58.882984,486.62503,1891.1779,46.435757
2015,0,22,999,2,99.615509,167.98792,33.164364,5.5691805,42.561161,252.02467,23.769615,63.607918,514.86279,2111.5588,66.926537
2015,0,22,999,3,95.324196,139.53966,39.173542,6.1793838,51.312927,251.75694,43.756283,70.390854,637.72968,2527.1548,118.82178
2015,0,22,999,999,85.232231,151.44136,34.750183,5.2738461,33.50631,254.47105,23.222164,61.872341,515.67773,2044.0909,62.454399
2015,0,27,0,1,69.544243,155.43839,30.522121,5.1316457,18.548744,199.58879,13.417822,55.833004,473.44867,1888.3801,36.037495
2015,0,27,0,2,94.265976,185.33337,31.038889,5.9128671,34.687695,190.62688,16.461357,60.598267,480.05157,2080.7617,45.814774
2015,0,27,0,3,99.651855,164.21368,41.458179,7.5171614,44.554512,180.63277,28.066553,67.48455,568.63153,2501.7312,74.968285
2015,0,27,0,999,79.885841,165.21631,31.755724,5.6000137,25.92691,195.04601,15.771148,58.403706,484.81299,2006.2759,42.795147
2015,0,27,1,1,89.387474,157.75406,40.536545,5.3174009,32.892292,215.76132,20.63938,63.569759,495.23849,2007.5236,48.252583
2015,0,27,1,2,112.42146,182.43306,33.624439,5.5341287,50.965542,202.19061,24.568266,66.963135,524.43726,2298.1147,67.759384
2015,0,27,1,3,101.15514,150.05142,40.069874,5.5084276,56.075775,218.80002,43.148823,73.007706,656.30475,2700.5725,118.41573
2015,0,27,1,999,98.992149,164.42984,38.199772,5.4220638,42.911251,211.87737,25.926556,66.355911,533.42487,2225.6182,67.100227
2015,0,27,999,1,79.12867,156.55687,35.359161,5.2213669,25.476782,207.40024,16.905886,59.569912,483.97333,1945.9272,41.937469
2015,0,27,999,2,104.32638,183.72624,32.471603,5.7029991,43.707649,197.03462,20.953594,64.125198,504.64676,2201.2024,57.974823
2015,0,27,999,3,100.66202,154.69702,40.525272,6.167345,52.296497,206.28015,38.201443,71.195961,627.54565,2635.3474,104.16383
2015,0,27,999,999,90.048195,164.79799,35.183216,5.5053649,34.960625,203.99834,21.172657,62.633362,510.66888,2122.9407,55.722652
2015,0,32,0,1,71.107285,158.24643,31.696049,5.7950072,17.843512,169.53284,13.620903,56.594604,484.5224,1920.5757,34.859089
2015,0,32,0,2,95.721581,187.63538,32.210915,6.6591105,32.882984,165.04099,16.799198,61.489204,495.39667,2150.8726,45.227253
2015,0,32,0,3,102.03539,169.48204,41.617584,7.7603636,43.679859,156.00494,27.139879,68.713882,581.67035,2591.5364,72.609085
2015,0,32,0,999,81.49691,168.0764,32.84293,6.2479019,24.887112,166.84666,15.91715,59.258865,497.47971,2056.0288,41.713287
2015,0,32,1,1,91.120216,158.88132,42.912266,5.8588314,32.368023,190.31834,20.905195,65.021523,509.84534,2065.5596,47.296318
2015,0,32,1,2,114.1413,184.37383,34.860538,6.0812931,49.530338,180.76939,24.51424,68.384323,543.02765,2396.6099,67.014351
2015,0,32,1,3,104.76478,158.40996,41.202667,5.7569218,55.952366,192.20448,40.597546,74.216324,664.96869,2811.1406,112.35894
2015,0,32,1,999,101.09381,167.05931,39.987377,5.9122062,42.270775,187.56955,25.697966,67.803276,549.14044,2310.0479,65.658211
2015,0,32,999,1,80.872871,158.55623,37.169159,5.8261514,24.930948,179.67542,17.175375,60.706635,496.87906,1991.3226,40.928009
2015,0,32,999,2,106.06355,185.80414,33.698578,6.3346877,42.229843,173.87189,21.130901,65.36055,522.13965,2288.8447,57.459877
2015,0,32,999,3,103.89741,161.92854,41.334522,6.3935924,52.052303,180.70068,36.32085,72.467705,638.49744,2741.3528,99.726883
2015,0,32,999,999,92.061195,167.52811,36.694355,6.0669346,34.258289,178.01794,21.189789,63.864979,525.32892,2192.9651,54.621506
2015,0,37,0,1,73.051559,162.98051,32.327778,6.3318706,17.832644,142.19319,13.557772,57.235901,491.02832,1956.3354,33.740669
2015,0,37,0,2,98.467041,194.36574,32.707893,7.1573319,32.700336,136.93073,16.252611,62.275898,501.672,2219.8801,43.600857
2015,0,37,0,3,105.15614,177.77995,41.502068,7.9977684,43.515282,132.16278,25.6548,69.518776,587.59076,2673.2622,69.907898
2015,0,37,0,999,84.035004,173.97723,33.390144,6.7529726,24.970764,139.56953,15.620337,60.025124,504.21402,2109.8967,40.451233
2015,0,37,1,1,93.454956,163.48175,42.892342,6.2773266,32.334373,164.58582,20.429512,65.94548,516.79852,2114.3347,45.927971
2015,0,37,1,2,117.34712,191.50177,35.413712,6.3806367,49.112595,155.48732,23.266735,69.055107,550.90881,2469.2942,64.893646
2015,0,37,1,3,108.70686,168.51727,41.146931,5.9104581,55.839676,167.44264,38.058796,75.042656,669.17505,2876.2878,107.47348
2015,0,37,1,999,104.22385,173.69098,40.091866,6.2423825,42.306305,162.11664,24.687202,68.686424,556.76794,2375.1443,63.786633
2015,0,37,999,1,83.143135,163.22842,37.55304,6.304893,25.005236,153.26863,16.956553,61.543682,503.77432,2034.4823,39.768539
2015,0,37,999,2,109.22995,192.73308,34.250389,6.7145638,42.056416,147.50922,20.251129,66.140495,529.74023,2362.0627,55.739162
2015,0,37,999,3,107.59945,171.40616,41.25769,6.5614581,51.995888,156.43939,34.190178,73.319839,643.73016,2812.9673,95.757347
2015,0,37,999,999,95.089569,173.8205,37.059727,6.4733949,34.462982,151.91539,20.584972,64.767693,532.99036,2255.1353,53.228718
2015,0,42,0,1,75.365509,171.32928,31.859833,6.5415015,18.678551,116.57867,12.869654,57.660965,488.3649,1981.1154,32.010651
2015,0,42,0,2,101.96659,207.53093,31.163347,7.0496922,33.703243,107.05325,14.521152,62.229488,493.33728,2268.4846,39.843788
2015,0,42,0,3,108.94328,190.67035,39.431583,7.6347213,43.794872,107.87827,23.291584,69.326973,582.90289,2726.5688,65.828903
2015,0,42,0,999,87.377975,184.85483,32.450306,6.819366,26.122082,112.63309,14.508259,60.355755,500.06207,2151.8694,38.110619
2015,0,42,1,1,96.547844,174.4274,41.372528,6.3298454,32.829948,136.15688,18.765701,65.938835,511.92932,2158.1755,43.278561
2015,0,42,1,2,121.71426,205.90195,33.951473,6.2988105,49.048141,125.47446,20.631258,68.53817,543.45532,2522.0872,60.253708
2015,0,42,1,3,113.04944,180.9785,39.67046,5.8460455,55.759171,142.13879,34.998409,74.75927,667.39136,2940.333,103.10214
2015,0,42,1,999,108.3923,186.54097,38.486217,6.2264166,42.819347,133.61813,22.52034,68.526016,552.59998,2433.6206,60.60004
2015,0,42,999,1,85.999306,172.88458,36.635326,6.4352479,25.782728,126.40718,15.829543,61.816563,500.19455,2070.0017,37.667282
2015,0,42,999,2,113.37309,206.59,32.773804,6.6159739,42.566643,117.69357,18.050423,65.873459,522.28607,2414.9685,51.632805
2015,0,42,999,3,111.78393,183.96552,39.59684,6.3973112,52.0718,131.57979,31.39039,73.085045,641.35217,2874.4514,91.614609
2015,0,42,999,999,99.070099,185.79297,35.808617,6.4894557,35.412247,124.30892,18.966087,64.901596,529.29358,2308.6323,50.623474
2015,0,47,0,1,76.725883,176.53561,31.935568,6.7295713,18.942657,99.235329,12.662107,58.08773,489.74197,2004.1095,31.46525
2015,0,47,0,2,104.36384,214.81674,30.566414,7.095583,33.821415,89.031227,13.881128,62.543056,494.11911,2318.9502,38.64006
2015,0,47,0,3,111.20092,197.48993,39.331341,7.5951209,43.468544,93.110718,22.516552,69.379219,588.86334,2766.2903,65.418808
2015,0,47,0,999,89.553268,191.32359,32.31221,6.9449153,26.511536,95.233551,14.1544,60.793022,502.18628,2191.3081,37.575043
2015,0,47,1,1,98.527702,180.88078,39.97657,6.3482938,33.046402,116.31215,18.128534,65.828651,511.90311,2194.1313,42.422878
2015,0,47,1,2,125.1127,213.34081,32.725189,6.3014264,48.66777,107.14748,19.900707,68.36306,548.55731,2584.6272,59.529598
2015,0,47,1,3,115.35728,187.31467,37.724262,5.8609457,55.107872,126.15714,34.428123,74.812325,677.13904,3004.4177,103.70969
2015,0,47,1,999,111.22813,193.61919,36.97102,6.2361283,42.896862,115.00311,21.952341,68.4869,557.27423,2491.1345,60.492741
2015,0,47,999,1,87.780357,178.7388,36.012707,6.5362473,26.09387,107.89402,15.433825,62.012718,500.97864,2100.459,37.021244
2015,0,47,999,2,116.4603,213.95628,31.824966,6.6325946,42.476753,99.592903,17.390507,65.936081,525.85626,2473.8384,50.818539
2015,0,47,999,3,114.08645,190.42581,38.215637,6.3911805,51.549076,116.05299,30.786085,73.151115,650.14819,2931.6089,92.002014
2015,0,47,999,999,101.75029,192.61539,34.933846,6.546062,35.731995,106.35841,18.542509,65.122574,533.18573,2360.0283,50.471439
2015,0,52,0,1,76.653214,175.65878,32.905403,7.0229836,18.548309,90.018219,13.122097,58.220985,500.26663,2008.416,32.904251
2015,0,52,0,2,105.11987,213.00189,31.846767,7.4166913,33.072659,80.895584,14.471535,62.939777,509.42441,2349.1133,41.35178
2015,0,52,0,3,110.82487,195.12897,39.084499,7.5720177,43.170185,84.417351,23.24353,70.504051,609.0517,2851.1118,70.520294
2015,0,52,0,999,89.995415,190.15413,33.292751,7.2165761,26.208122,86.376968,14.76282,61.217602,516.15656,2219.5366,40.122055
2015,0,52,1,1,98.67939,179.70757,39.985928,6.5130467,32.999813,106.34547,18.539118,66.04641,524.50269,2221.8342,44.760529
2015,0,52,1,2,126.01794,211.09889,33.136383,6.3867712,48.086365,98.301414,20.625257,69.266052,569.50043,2658.2412,64.046951
