year,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
1990,0,0,0,1,68.612518,140.59683,26.629099,7.4674788,28.529158,159.87604,17.893673,45.229435,439.14481,1529.6798,57.933968
1990,0,0,0,2,88.779808,175.86108,28.389984,6.5350113,49.110737,171.744,23.253246,46.821129,466.22665,1428.2203,84.335136
1990,0,0,0,3,105.29716,181.7099,24.803986,6.0453534,59.270893,148.25084,37.656685,51.358288,549.28113,1810.0894,122.00745
1990,0,0,0,999,81.479958,159.3631,26.937563,6.916954,40.575459,162.06454,22.93646,46.769131,466.29132,1540.3137,77.380341
1990,0,0,1,1,87.010132,127.03091,34.522205,7.5408797,35.120655,211.828,33.59837,53.181725,518.77173,1677.8182,94.391167
1990,0,0,1,2,107.13762,140.27872,34.714809,6.4120245,54.363899,230.58597,48.737801,57.776306,593.64246,1906.874,152.05003
1990,0,0,1,3,108.60152,123.21923,27.944361,6.2537808,60.728664,231.48047,77.070679,63.985909,718.29443,2374.7087,217.04948
1990,0,0,1,999,99.800873,130.61992,32.826511,6.8031044,48.680031,223.62254,50.516811,57.676014,598.2959,1944.2855,147.32727
1990,0,0,999,1,74.852364,135.99573,29.30617,7.4923739,30.764769,177.49637,23.220169,47.926579,466.15152,1579.9232,70.299004
1990,0,0,999,2,96.14843,161.57872,30.928699,6.4856458,51.219299,195.36252,33.482464,51.218414,517.36993,1620.3467,111.51514
1990,0,0,999,3,107.02287,151.16315,26.444048,6.1542048,60.032215,191.71753,58.24065,57.953064,637.54834,2104.9619,171.64317
1990,0,0,999,999,88.772278,147.92238,29.281555,6.8716383,43.801342,186.56664,33.914341,51.110424,518.83344,1701.1077,105.2215
1990,0,1,0,1,71.774796,201.56528,32.970757,8.5691586,34.231915,105.71659,13.284125,45.448952,400.00793,1424.6174,37.445995
1990,0,1,0,2,90.611717,235.59213,32.786133,7.511692,54.743271,109.76992,16.58255,47.942627,419.90701,1511.2631,53.091026
1990,0,1,0,3,102.02844,230.3512,28.158798,5.6429038,64.467285,105.51345,25.510853,54.181252,483.29071,2007.5585,75.760895
1990,0,1,0,999,84.510429,219.48439,31.957926,7.6127315,47.567165,107.13684,16.876884,48.064587,423.55493,1570.4727,50.617088
1990,0,1,1,1,91.2742,179.00122,42.434303,8.2944965,44.497253,160.20726,25.739809,54.577209,480.2619,1761.4807,65.262466
1990,0,1,1,2,111.53471,189.70674,39.478905,6.5987592,63.222664,165.68161,33.843864,60.64996,549.57568,2248.9849,99.811653
1990,0,1,1,3,106.9848,172.66148,32.392326,5.2437325,68.159859,169.82819,49.006996,67.605186,635.1402,2744.325,131.94194
1990,0,1,1,999,103.79661,180.77005,38.041405,6.6716452,59.098064,165.37086,36.372082,61.085159,556.58875,2263.0588,99.824242
1990,0,1,999,1,78.737862,193.50786,36.350105,8.4710789,37.897575,125.17472,17.731937,48.708572,428.66589,1544.9083,47.379009
1990,0,1,999,2,99.927124,215.16292,35.765911,7.1052337,58.518497,134.66312,24.267691,53.600227,477.63852,1839.714,73.892136
