year,female,age,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
1990,0,2,0,1,62.544857,95.624374,15.927462,8.8633804,12.940865,61.651093,16.86911,44.457146,501.88214,1791.6519,62.360649
1990,0,2,0,2,85.201202,131.99287,18.356356,7.6643543,22.544033,62.900394,21.865517,46.011585,555.08209,1615.948,93.74752
1990,0,2,0,3,107.13873,148.89052,16.801519,7.3758273,27.582026,50.476387,35.958477,50.604317,685.28906,2041.1768,141.84848
1990,0,2,0,999,77.228851,116.3206,16.888517,8.2232027,18.496166,60.320976,21.559963,45.949211,548.71326,1771.2169,85.482643
1990,0,2,1,1,82.122002,87.234489,19.672483,8.9763145,16.085426,85.776848,30.41469,52.553555,603.08594,1918.2955,102.38717
1990,0,2,1,2,111.02596,108.19987,22.231026,7.5673614,25.619602,90.030167,45.343586,57.244656,719.51563,2120.8743,175.29375
1990,0,2,1,3,120.65791,101.60979,19.753862,7.4678531,29.446373,90.632736,75.097969,63.395462,896.24152,2657.0918,264.23535
1990,0,2,1,999,101.96933,98.137001,20.572491,8.1040516,22.799372,88.487778,47.042374,56.955288,718.52704,2178.0129,169.08504
1990,0,2,999,1,69.045677,92.838417,17.17104,8.9008818,13.985053,69.662331,21.367079,47.145653,535.4881,1833.7054,75.651924
1990,0,2,999,2,95.238358,122.74539,19.862301,7.626657,23.739395,73.444756,30.990595,50.377476,618.99152,1812.1947,125.44159
1990,0,2,999,3,113.99516,124.91143,18.298841,7.4224992,28.527555,70.842247,55.808624,57.091526,792.27655,2353.5469,203.91872
1990,0,2,999,999,86.769196,109.30869,18.30912,8.1772556,20.155554,71.182571,31.386412,50.19334,614.19629,1928.0844,117.72114
1990,0,7,0,1,74.729027,145.90764,30.292753,7.4616022,31.621826,186.17445,21.115814,46.142918,437.63626,1485.8735,64.553764
1990,0,7,0,2,96.465286,181.87856,32.49374,6.7056565,54.441479,199.37151,27.972147,47.781357,462.66547,1392.861,94.79763
1990,0,7,0,3,113.86824,187.50191,28.197189,6.4541907,65.49704,166.66235,45.806873,52.28191,541.98523,1773.5298,137.06378
1990,0,7,0,999,88.317741,164.72449,30.709101,7.0450459,44.745106,187.57053,27.357471,47.672264,462.67282,1499.8135,86.320267
1990,0,7,1,1,94.489418,131.75087,38.957123,7.5517459,38.608498,236.93922,39.466965,54.015968,513.4444,1624.5367,104.30917
1990,0,7,1,2,114.59669,144.02788,38.973286,6.6671648,59.220615,253.50415,58.192833,58.5812,585.53748,1843.7234,167.95598
1990,0,7,1,3,114.5265,124.50659,30.523123,6.8981056,65.309746,249.79819,91.975807,64.710312,710.12146,2302.0647,238.23943
1990,0,7,1,999,106.72967,134.07562,36.733295,7.0734887,52.784672,246.05875,59.813622,58.419399,590.32941,1879.3243,161.69118
1990,0,7,999,1,81.444092,141.09683,33.237118,7.4922352,33.996067,203.42555,27.351978,48.818371,463.39771,1532.9946,78.063614
1990,0,7,999,2,103.75254,166.66585,35.097954,6.690186,56.362278,221.12814,40.118244,52.121956,512.04938,1574.0686,124.20095
1990,0,7,999,3,114.21365,154.44626,29.417679,6.6871266,65.398758,210.28636,70.03318,58.803486,630.21161,2050.8687,190.15385
1990,0,7,999,999,95.648491,152.52158,33.107647,7.0563703,47.946075,210.85774,40.279957,51.95126,513.49957,1650.9165,116.32936
1990,0,12,0,1,69.676682,159.30841,32.031193,6.6715655,35.624279,221.56165,18.096321,45.598366,408.50873,1408.0535,55.523529
1990,0,12,0,2,88.113846,191.09854,33.319256,5.9244266,60.84507,240.04564,23.75815,47.312092,426.22623,1349.4473,80.148445
1990,0,12,0,3,101.82226,189.86015,28.600063,5.339623,73.018715,208.68437,38.295795,51.894131,490.09558,1717.2418,113.50047
1990,0,12,0,999,81.247002,175.20352,31.914124,6.1979208,50.379314,225.80881,23.333004,47.213039,427.89148,1438.3329,73.429161
1990,0,12,1,1,86.924751,142.81555,41.729053,6.7060709,43.704922,285.91058,34.584175,53.517952,478.70795,1567.3724,90.002411
1990,0,12,1,2,102.77148,150.17294,40.274986,5.766036,66.494156,309.2088,49.601101,58.074383,538.48395,1813.3811,141.24806
1990,0,12,1,3,101.09008,128.65791,31.277082,5.5339155,73.648056,306.51822,76.727867,64.206627,642.1875,2248.5422,195.99913
1990,0,12,1,999,96.302078,141.53984,38.383751,6.0597014,59.789307,299.638,51.268089,58.010414,543.95837,1838.1832,136.66852
1990,0,12,999,1,75.607483,153.63728,35.365833,6.6834302,38.402832,243.68822,23.76572,48.321541,432.64694,1462.8357,67.379196
1990,0,12,999,2,94.11438,174.34445,36.16679,5.8595848,63.157688,268.35959,34.337711,51.717949,472.18219,1539.3721,105.16135
1990,0,12,999,3,101.43293,157.31679,30.023529,5.442935,73.353355,260.70605,58.731468,58.441116,570.96814,1999.7528,157.36789
1990,0,12,999,999,87.350227,161.5565,34.536865,6.1418881,54.194061,255.73865,34.657692,51.590221,474.94421,1600.4296,99.065956
1990,0,17,0,1,68.482758,175.96898,31.170204,6.4080286,38.646851,197.46291,15.23117,44.803696,387.56284,1352.4198,46.520844
1990,0,17,0,2,85.487091,208.77037,31.484344,5.5491843,64.686951,209.00018,19.30809,46.288052,399.24551,1311.4812,65.308891
1990,0,17,0,3,97.54393,206.50363,27.025126,4.7323174,76.843361,185.81868,30.529751,50.763889,453.74664,1665.519,91.111336
1990,0,17,0,999,79.464378,192.7619,30.567699,5.8176117,54.378944,199.51903,19.297169,46.351192,403.05792,1391.8751,60.801346
1990,0,17,1,1,84.662979,156.54639,40.981148,6.5458446,46.686192,267.66507,29.784317,52.659534,457.79199,1544.701,76.953697
1990,0,17,1,2,99.086174,163.23027,38.939884,5.4597068,70.051743,288.79092,41.677795,57.228855,512.93683,1822.1002,119.18284
1990,0,17,1,3,96.773132,140.04341,30.906033,4.9773374,77.293999,291.79449,64.159698,63.662437,608.17041,2266.9221,164.57852
1990,0,17,1,999,93.189102,154.28236,37.424664,5.7192688,63.586929,281.94965,43.669315,57.374657,519.63983,1846.1967,116.57817
1990,0,17,999,1,74.032074,169.30763,34.535053,6.4552951,41.404099,221.54007,20.222448,47.498005,411.64929,1418.3663,56.95837
1990,0,17,999,2,91.038071,190.18143,34.527607,5.5126605,66.876785,241.56981,28.439138,50.753956,445.65295,1519.9098,87.299599
1990,0,17,999,3,97.137367,171.44829,29.072163,4.8615565,77.081055,241.71706,48.268322,57.567402,535.19952,1982.7372,129.86259
1990,0,17,999,999,85.035301,177.14291,33.350967,5.7776942,58.116501,232.97795,29.189919,50.825661,450.379,1576.286,83.441376
1990,0,22,0,1,68.984703,188.92514,31.131378,6.6398296,39.103916,163.52493,13.799391,44.602703,379.76993,1339.5625,40.49786
1990,0,22,0,2,85.491203,222.42131,30.934216,5.7369766,64.254837,171.26306,17.231327,46.092125,390.46692,1327.4495,56.069618
1990,0,22,0,3,96.736031,219.24316,26.218374,4.7572184,75.848122,157.92059,27.115044,50.682331,443.48569,1688.2998,77.890442
1990,0,22,0,999,79.846199,206.31284,30.181589,5.9804616,54.661865,165.28499,17.408272,46.222755,394.9942,1397.6578,52.751266
1990,0,22,1,1,85.162903,166.95604,41.39444,6.7591996,47.329971,232.7343,27.667358,52.709465,451.72922,1565.1412,68.163689
1990,0,22,1,2,99.574829,173.26393,38.256229,5.6195035,69.957397,251.99202,38.295544,57.448296,508.66336,1882.5822,105.04956
1990,0,22,1,3,96.322914,149.39072,30.396038,4.9579005,76.667809,262.25952,58.207417,64.221085,601.91736,2346.7849,144.13968
1990,0,22,1,999,93.57061,164.11862,37.076221,5.8275943,63.960766,248.21118,40.344433,57.750633,515.74548,1905.8867,103.44669
1990,0,22,999,1,74.560097,181.35406,34.668274,6.6809673,41.938808,187.37613,18.578623,47.396488,404.56882,1417.3024,50.032162
1990,0,22,999,2,91.279144,202.2191,33.943336,5.6886983,66.598412,204.4402,25.888079,50.759163,439.04205,1555.592,76.198883
1990,0,22,999,3,96.517151,182.23322,28.431828,4.8635459,76.282417,213.20253,43.588726,57.855576,527.42761,2037.1852,112.99129
1990,0,22,999,999,85.472626,189.01498,33.008099,5.9177923,58.474022,199.28123,26.811132,50.9487,444.49716,1606.0103,73.534256
1990,0,27,0,1,70.119034,194.87466,31.752008,7.355752,37.143818,137.66736,13.499042,45.047169,385.53992,1377.1836,37.69083
1990,0,27,0,2,86.744492,227.62288,31.409153,6.5119352,60.548466,145.96564,17.009962,46.964512,399.72098,1399.3485,52.675861
1990,0,27,0,3,97.157043,221.2903,26.335272,5.2313933,71.384865,140.2482,26.87269,52.504082,458.59552,1825.3119,74.367859
1990,0,27,0,999,81.076736,211.47958,30.624699,6.6600981,51.860676,141.11209,17.234646,47.115681,404.15985,1468.2305,49.85017
1990,0,27,1,1,87.048927,171.41261,41.927181,7.3260913,46.212566,203.57237,26.896212,53.655876,459.51886,1636.8035,63.972267
1990,0,27,1,2,102.21035,177.56343,38.35817,6.148129,67.751724,221.464,36.855404,58.791485,520.56281,2013.5885,98.322159
1990,0,27,1,3,97.216423,154.21054,29.879232,5.2564912,73.796524,232.81941,54.910942,65.704918,613.16327,2503.6445,133.43388
1990,0,27,1,999,95.600647,168.29787,36.93354,6.2666154,62.418049,218.98907,39.100513,59.209148,528.74561,2038.9327,97.679871
1990,0,27,999,1,76.057472,186.64497,35.321114,7.3453479,40.324829,160.78462,18.198318,48.066814,411.48923,1468.2495,46.909473
1990,0,27,999,2,93.311333,206.36752,34.359722,6.3574624,63.606991,178.02243,25.436384,51.986275,451.0307,1660.1563,72.057388
1990,0,27,999,3,97.189789,184.29675,28.289717,5.2452345,72.714859,191.29993,42.335396,59.784161,543.83746,2199.4028,106.94194
1990,0,27,999,999,87.247734,193.13231,33.305233,6.4929132,56.346352,174.2009,26.525137,52.254021,457.09454,1710.7136,70.172318
1990,0,32,0,1,71.542542,198.57045,32.532799,8.2903671,34.985157,117.14014,13.43267,45.478958,394.12704,1418.5872,36.233101
1990,0,32,0,2,88.64212,230.93364,32.139965,7.4042926,56.85553,125.41486,16.982668,47.781498,411.00281,1475.5436,51.201496
1990,0,32,0,3,98.955818,222.80199,26.890375,5.7048826,67.551636,124.71375,26.838596,54.084087,474.79593,1970.0453,73.442932
1990,0,32,0,999,82.895439,214.75937,31.311584,7.4788742,49.02747,121.5434,17.267723,47.949146,415.60364,1544.5646,48.702633
1990,0,32,1,1,89.514954,175.04485,42.474133,8.0856619,45.008263,178.52505,26.2978,54.645264,469.07181,1714.326,61.501781
1990,0,32,1,2,106.10487,182.60828,38.450386,6.6944542,65.905067,193.69992,35.356426,60.176815,530.80713,2141.0039,94.075821
1990,0,32,1,3,100.19614,160.99518,30.053946,5.4869123,71.868912,204.64006,51.888325,67.184425,621.62012,2659.6462,126.89609
1990,0,32,1,999,98.874771,173.14053,36.997562,6.7452245,61.171215,192.41824,37.853748,60.694656,540.698,2173.8066,94.370186
1990,0,32,999,1,77.933624,190.20462,36.067989,8.2175732,38.549427,138.96893,18.007578,48.738544,420.77777,1523.7534,45.218777
1990,0,32,999,2,96.261459,209.84834,34.89333,7.0945764,60.80402,155.20897,24.999498,53.189819,463.27582,1765.897,69.908401
1990,0,32,999,3,99.663254,187.5495,28.694767,5.5805597,70.014061,170.30096,41.126102,61.556072,558.53943,2363.3699,103.93078
1990,0,32,999,999,89.896339,196.52524,33.802738,7.1574459,54.347916,152.59525,26.286917,53.533237,470.41025,1820.2494,68.710602
1990,0,37,0,1,72.891991,209.99722,31.875408,8.7672844,34.494934,95.822784,12.619863,45.121151,392.04819,1421.0985,33.871864
