Code,Item,Group,Region_Number,REGION_NAME,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
11,Population (Thousands),State,8,Far West,Alaska,570,589,599,603,604,609,613,620,625,628,634,642,648,659,667,675,680,687,699,714,723,731,737,737,1.1
11,Population (Thousands),State,6,Southwest,Arizona,3789,3916,4065,4245,4432,4587,4737,4883,5024,5161,5273,5396,5510,5652,5839,6029,6168,6280,6343,6408,6467,6550,6625,6720,2.5
11,Population (Thousands),State,5,Southeast,Arkansas,2383,2416,2456,2494,2535,2572,2601,2626,2652,2679,2692,2706,2725,2750,2781,2822,2849,2875,2897,2922,2939,2951,2959,2967,1
11,Population (Thousands),State,8,Far West,California,30471,30975,31275,31484,31697,32019,32486,32988,33499,33988,34479,34872,35253,35575,35828,36021,36250,36604,36961,37333,37677,38011,38335,38681,1
11,Population (Thousands),State,7,Rocky Mountains,Colorado,3387,3496,3614,3724,3827,3920,4018,4117,4226,4327,4426,4490,4529,4575,4632,4720,4804,4890,4972,5049,5118,5190,5268,5350,2
11,Population (Thousands),State,1,New England,Connecticut,3303,3301,3309,3316,3324,3337,3349,3365,3386,3412,3433,3459,3484,3496,3507,3517,3527,3546,3562,3580,3590,3594,3596,3592,0.4
11,Population (Thousands),State,2,Mideast,Delaware,683,695,706,718,730,741,751,763,775,786,796,806,818,831,845,859,872,884,892,900,908,917,925,935,1.4
11,Population (Thousands),State,2,Mideast,District of Columbia,601,598,595,589,581,572,568,565,570,572,575,573,569,568,567,571,574,580,592,605,620,635,649,659,0.4
11,Population (Thousands),State,5,Southeast,Florida,13370,13651,13927,14239,14538,14853,15186,15487,15759,16048,16357,16689,17004,17415,17842,18167,18368,18527,18653,18849,19097,19344,19582,19889,1.7
11,Population (Thousands),State,5,Southeast,Georgia,6653,6817,6978,7157,7328,7501,7685,7864,8046,8227,8377,8508,8623,8769,8926,9156,9350,9505,9621,9714,9812,9915,9985,10087,1.8
11,Population (Thousands),State,8,Far West,Hawaii,1137,1159,1173,1188,1197,1204,1212,1215,1210,1214,1226,1240,1251,1274,1293,1310,1316,1332,1347,1364,1378,1392,1406,1416,1
11,Population (Thousands),State,7,Rocky Mountains,Idaho,1041,1072,1109,1145,1177,1203,1229,1252,1276,1299,1320,1340,1363,1392,1428,1469,1505,1534,1554,1571,1584,1596,1612,1634,2
