year,superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2000,MENA,AFG,Afghanistan,0,0,0,1,87.709305,85.278496,9.7208748,3.0580673,1.1126858,252.51372,121.57623,51.568306,362.1712,1544.8929,18.238758
2000,MENA,AFG,Afghanistan,0,0,0,2,110.80104,92.085831,10.164707,4.0364347,1.3952826,300.4751,176.76871,53.512444,378.36154,1612.4159,24.940498
2000,MENA,AFG,Afghanistan,0,0,0,3,134.54401,103.45465,11.552044,4.9415765,1.6594235,275.24161,219.64713,54.232735,393.40262,1683.2349,30.173862
2000,MENA,AFG,Afghanistan,0,0,0,999,95.827332,88.160599,9.9810839,3.3907366,1.2090772,261.03296,139.42734,52.108696,367.68329,1568.7867,20.409332
2000,MENA,AFG,Afghanistan,0,0,1,1,103.2242,89.38549,10.182718,3.4273698,1.3504952,219.1669,158.62819,51.713821,391.09525,1557.571,21.178288
2000,MENA,AFG,Afghanistan,0,0,1,2,129.25629,95.99369,11.473543,4.7258296,1.6790252,260.79962,235.04465,53.337769,410.00354,1624.5774,29.557993
2000,MENA,AFG,Afghanistan,0,0,1,3,156.12006,108.00595,12.269163,5.6132264,2.0050845,236.51642,292.07367,54.026833,426.03784,1697.9252,35.762383
2000,MENA,AFG,Afghanistan,0,0,1,999,112.38684,92.292496,10.577028,3.8337553,1.4646785,226.29575,183.08223,52.174992,397.36127,1581.6256,23.854359
2000,MENA,AFG,Afghanistan,0,0,999,1,91.134674,86.185234,9.8228397,3.1396017,1.1651893,245.1514,129.75656,51.600433,368.55704,1547.6919,18.887747
2000,MENA,AFG,Afghanistan,0,0,999,2,114.8756,92.948616,10.453672,4.1886396,1.4579275,291.71558,189.63487,53.473881,385.34747,1615.101,25.959949
2000,MENA,AFG,Afghanistan,0,0,999,3,139.30757,104.4595,11.71037,5.0898638,1.7357386,266.69189,235.63748,54.187279,400.60785,1686.4783,31.4077
2000,MENA,AFG,Afghanistan,0,0,999,999,99.483345,89.072838,10.112657,3.4885461,1.265509,253.36368,149.06548,52.123333,374.23563,1571.6213,21.169926
2000,MENA,AFG,Afghanistan,0,1,0,1,100.23553,143.59828,16.982279,5.174315,1.5112731,168.10608,123.83787,55.73838,386.27255,1608.5619,13.095038
