year,superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2005,MENA,AFG,Afghanistan,0,0,0,1,83.541054,82.625526,9.3354053,2.1202474,1.5816476,269.44156,58.648567,51.062256,342.5127,1432.0991,17.371792
2005,MENA,AFG,Afghanistan,0,0,0,2,104.99745,87.988922,10.190061,2.7685492,1.9163854,318.9581,84.212326,52.850231,359.67703,1498.8879,23.845695
2005,MENA,AFG,Afghanistan,0,0,0,3,127.00011,99.09259,11.646602,3.3714564,2.3603423,290.88281,105.48552,53.698154,374.24396,1555.4615,29.335968
2005,MENA,AFG,Afghanistan,0,0,0,999,92.533241,85.619698,9.7708569,2.3836999,1.7353462,279.69037,68.703918,51.680302,349.30194,1458.5026,19.931974
2005,MENA,AFG,Afghanistan,0,0,1,1,97.245285,85.535439,9.9184017,2.3689044,1.9044749,234.44243,77.329849,51.077095,369.90497,1448.3781,20.505911
2005,MENA,AFG,Afghanistan,0,0,1,2,122.47447,92.737541,11.229776,3.1805093,2.3726127,273.84766,111.15513,52.662548,385.7583,1513.9231,28.315298
2005,MENA,AFG,Afghanistan,0,0,1,3,147.65167,102.59157,12.235424,3.7453232,2.8394387,249.79839,137.77501,53.50882,403.03647,1573.2678,34.504517
2005,MENA,AFG,Afghanistan,0,0,1,999,107.72614,88.882584,10.422817,2.6734159,2.0989051,242.37103,90.431259,51.637711,376.68497,1474.7992,23.536467
2005,MENA,AFG,Afghanistan,0,0,999,1,86.652321,83.286163,9.467762,2.1766999,1.6549391,261.4957,62.889774,51.06562,348.73154,1435.7949,18.08333
2005,MENA,AFG,Afghanistan,0,0,999,2,108.96526,89.067001,10.426107,2.8620765,2.0199628,308.71667,90.329147,52.807621,365.59824,1502.3013,24.86043
2005,MENA,AFG,Afghanistan,0,0,999,3,131.68863,99.886971,11.780282,3.4563355,2.4691117,281.55542,112.81621,53.655174,380.78073,1559.5042,30.509384
2005,MENA,AFG,Afghanistan,0,0,999,999,95.982483,86.360466,9.9188709,2.4494739,1.8178848,271.21774,73.636673,51.670631,355.51868,1462.2024,20.750301
2005,MENA,AFG,Afghanistan,0,1,0,1,94.843765,138.40305,16.753345,3.4929001,2.1572266,180.89644,59.745941,54.577705,365.15289,1495.5912,12.661328
2005,MENA,AFG,Afghanistan,0,1,0,2,118.85214,147.37869,18.190615,4.6181574,2.6887052,213.86501,86.235565,56.600193,381.05215,1566.7203,17.445467
2005,MENA,AFG,Afghanistan,0,1,0,3,144.71651,165.93761,19.789104,5.4882174,3.2209554,194.02391,106.51972,57.488064,398.81168,1624.3002,21.229738
2005,MENA,AFG,Afghanistan,0,1,0,999,105.07127,143.41072,17.372293,3.9266775,2.3782651,187.56723,69.931114,55.267323,372.01004,1523.3549,14.516912
2005,MENA,AFG,Afghanistan,0,1,1,1,110.45681,144.42033,17.483932,4.0152497,2.5956833,153.50752,77.673615,54.593155,393.51663,1505.1287,14.842214
2005,MENA,AFG,Afghanistan,0,1,1,2,138.849,153.9028,19.67,5.2866478,3.1550348,184.89052,113.41307,56.793198,411.37238,1577.0875,20.175446
2005,MENA,AFG,Afghanistan,0,1,1,3,168.44324,172.87807,21.695301,6.3044662,3.8610349,167.95425,140.57028,57.131866,426.8461,1637.3344,24.825205
2005,MENA,AFG,Afghanistan,0,1,1,999,122.41956,149.62665,18.371269,4.5099936,2.8477395,160.11732,91.38736,55.259781,400.62201,1533.4819,16.968201
2005,MENA,AFG,Afghanistan,0,1,999,1,98.38839,139.76915,16.91921,3.6114888,2.2567692,174.67833,63.816055,54.581211,371.59232,1497.7565,13.156454
2005,MENA,AFG,Afghanistan,0,1,999,2,123.39202,148.85986,18.526478,4.7699246,2.7945759,207.28691,92.40567,56.644009,387.93573,1569.0739,18.065254
2005,MENA,AFG,Afghanistan,0,1,999,3,150.10318,167.51331,20.221869,5.6735306,3.3662727,188.10532,114.25023,57.407196,405.17633,1627.2593,22.046017
2005,MENA,AFG,Afghanistan,0,1,999,999,109.00985,144.82191,17.599091,4.0591078,2.4848497,181.33527,74.802322,55.26561,378.5058,1525.6539,15.073428
2005,MENA,AFG,Afghanistan,0,999,0,1,88.283798,106.0304,12.448055,2.6962278,1.8231668,232.28702,59.109035,52.537376,352.01276,1458.741,15.395227
2005,MENA,AFG,Afghanistan,0,999,0,2,110.81104,112.90953,13.547183,3.5446656,2.2404594,274.85986,85.061295,54.423759,368.64627,1527.3512,21.160088
2005,MENA,AFG,Afghanistan,0,999,0,3,134.43411,127.14151,15.063287,4.2596731,2.7214651,250.23973,105.91948,55.288445,384.55286,1584.347,25.934502
2005,MENA,AFG,Afghanistan,0,999,0,999,97.794342,109.86946,12.960505,3.0311506,2.0051222,241.03447,69.218864,53.185459,358.83051,1485.7153,17.659754
2005,MENA,AFG,Afghanistan,0,999,1,1,102.78899,110.2442,13.092983,3.0597291,2.1945136,200.48123,77.474091,52.552471,379.81268,1472.1912,18.12936
2005,MENA,AFG,Afghanistan,0,999,1,2,129.3454,118.40316,14.771388,4.0642681,2.7009256,236.52023,112.10258,54.395813,396.50623,1540.4275,24.899723
2005,MENA,AFG,Afghanistan,0,999,1,3,156.37604,132.08456,16.204895,4.8191681,3.2681117,215.45566,138.94794,55.029091,413.02725,1600.1509,30.44297
2005,MENA,AFG,Afghanistan,0,999,1,999,113.89165,114.37148,13.758076,3.4440641,2.4131243,207.85645,90.832443,53.15757,386.72922,1499.4231,20.780348
2005,MENA,AFG,Afghanistan,0,999,999,1,91.576912,106.98706,12.594474,2.7787535,1.9074738,225.06618,63.278458,52.540806,358.32419,1461.7947,16.015959
2005,MENA,AFG,Afghanistan,0,999,999,2,115.01889,114.15675,13.825113,3.662631,2.3449991,266.15561,91.200485,54.417412,374.97131,1530.3198,22.009098
