year,superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2015,MENA,AFG,Afghanistan,0,0,0,1,80.583305,82.928703,5.7586246,1.7983135,1.5907878,206.88399,30.288729,56.497116,371.48871,1650.3533,14.069639
2015,MENA,AFG,Afghanistan,0,0,0,2,101.30841,88.404175,6.3236718,2.4141815,1.9763691,244.80341,43.460491,58.458908,391.99448,1732.0352,19.322525
2015,MENA,AFG,Afghanistan,0,0,0,3,121.92009,99.375977,6.9057856,2.8717725,2.3352373,223.62003,53.895599,58.989151,405.74881,1788.9031,23.480946
2015,MENA,AFG,Afghanistan,0,0,0,999,83.154579,83.882202,5.8297272,1.8670359,1.6374044,208.6664,31.790689,56.670013,373.70337,1659.2781,14.668467
2015,MENA,AFG,Afghanistan,0,0,1,1,93.940918,86.715599,6.3703618,2.0067859,1.9153774,180.19475,39.156872,56.579269,400.89874,1676.3009,16.564373
2015,MENA,AFG,Afghanistan,0,0,1,2,119.31678,92.389122,6.9159579,2.6797872,2.3771255,211.1283,57.504463,58.337715,419.75677,1749.6726,22.598766
2015,MENA,AFG,Afghanistan,0,0,1,3,143.20911,103.86279,7.4150281,3.2806437,2.8944807,192.60254,70.438576,59.029125,437.51685,1818.6899,27.779764
2015,MENA,AFG,Afghanistan,0,0,1,999,97.022476,87.708801,6.4358912,2.0868857,1.9755489,181.58702,41.169571,56.744972,403.18903,1685.2078,17.272331
2015,MENA,AFG,Afghanistan,0,0,999,1,83.896393,83.867966,5.9103537,1.8500209,1.6712958,200.26425,32.488293,56.51749,378.78326,1656.7891,14.688408
2015,MENA,AFG,Afghanistan,0,0,999,2,105.77502,89.392563,6.4705763,2.4800596,2.0757687,236.45096,46.943817,58.428848,398.88037,1736.4098,20.135132
2015,MENA,AFG,Afghanistan,0,0,999,3,127.20041,100.48884,7.032093,2.9731848,2.4739463,215.92676,57.998753,58.999062,413.62823,1796.291,24.547182
2015,MENA,AFG,Afghanistan,0,0,999,999,86.594238,84.831322,5.9800744,1.9215653,1.7212745,201.94992,34.116936,56.688606,381.01672,1665.7096,15.314304
2015,MENA,AFG,Afghanistan,0,1,0,1,90.044914,131.86035,9.5422382,3.0138147,2.0660131,131.32051,30.657598,60.083447,395.33569,1731.1638,10.185742
