countryname,Fruit Consumption,non-starchy vegetable consumption,Beans and Legumes,Nuts and Seeds,Unprocessed red meat,sugar-sweetened beverages,Fruit Juices,Protein,Calcium (milligrams),Potassium (milligrams),Total Milk
Afghanistan,164.51663512083326,155.23979097916668,13.47733035583334,6.90398567291667,2.5779263812499993,196.14026233749976,263.6292140833333,45.402204416666706,420.9469609583331,1234.6596887500004,23.8111019875
Albania,152.25763104166668,121.34285227916665,69.27556270416667,6.914708094999998,62.599547554166726,140.7994826333334,64.72572379999998,73.82322655833333,594.1390564583329,2347.4431320833323,135.01358182083322
Algeria,74.52414204166664,166.22809285416685,21.754682098333323,3.590649703333334,23.386123530833334,334.01617537500005,53.17638442916665,62.33995102499999,658.2003030416673,2212.9538541666666,207.56884308333335
Angola,117.58459294999997,132.65058303333336,9.281618934999994,33.034157000000036,31.68108275625,168.5892649124999,40.592063667083316,85.35216203333339,441.027106708333,2432.3571779166687,53.64815573333332
Antigua and Barbuda,109.56421558749993,142.93960347499996,71.40419378333331,3.8297235231249998,45.35734061249995,465.9129715416665,119.25172549583333,89.13007263749999,684.7243277916665,1886.124420416666,171.47045700000007
Argentina,86.31108100833329,123.9931870875,1.4706271672083326,1.0235524414583337,65.39832932083335,187.15552677083332,38.02426784166669,69.17104198333332,561.5984715000001,2024.5766158333327,86.9672745541667
Armenia,108.74977625000005,84.90334362500002,32.82417811166667,2.2609080377916664,42.54462364999997,77.96943991250006,61.16084698333329,69.0976932666667,654.044083458333,2243.2201595833344,88.21574800416667
Australia,155.32064616250003,132.0383883833334,28.587081620833327,3.261865426666666,77.93809712083338,136.88435520833326,42.95580072916667,81.13835491249998,775.8688877916663,3752.277445833332,205.58288520833318
Austria,105.64571032499998,106.3836926375,10.784795154583332,4.309305485833331,92.25812137916672,97.33582099583337,53.69101488333334,70.81086053333334,697.2327896250002,3373.146719166664,112.50499932916668
Azerbaijan,125.59061318750001,82.41004592083337,893.3262863749998,18.482824087499992,61.03273077499999,84.34448686249995,27.368566283333326,80.48894415833333,672.173857125,2237.398102083332,105.38955344166665
Bahamas,60.391182487500025,120.36786620000005,29.04422965833333,5.89887925083333,30.18127521708335,341.04949062500015,53.03150067916663,93.15162332916674,765.391257375,2217.0278366666666,146.7510353833333
Bahrain,60.48821035833329,126.80712298333339,83.62501379583335,0.7252254191249996,1.4942801687083345,519.0198617916666,54.08293545416668,97.92787607916667,618.8611919166667,2985.78779875,105.39778229999999
Bangladesh,95.3060317125,241.81325970833345,69.95812267083329,1.7690704737916678,14.030540812083336,117.7746229,49.51880287916665,64.30351790833336,468.09617970833347,1088.3211379166669,54.35614594166667
Barbados,97.39564336250007,144.33946180833337,15.08394671958333,3.830056349750001,53.23835301249994,743.05554525,15.628740987916668,87.29624197500002,545.2240747916671,1631.225015,58.42492746249999
Belarus,54.581263225000036,81.07107474583336,229.86635755000003,4.159048369291665,39.109942025,60.853366891666695,10.863239862499995,53.02268865000003,590.6906353333333,4127.6228599999995,158.89802866666676
Belgium,134.37436480416673,119.64614329583331,3.477752107500001,3.4909041625000015,72.33577477916668,221.04087307916654,74.49853644583331,76.31634337083338,732.6873712500003,3154.759465000001,99.84734137083338
Belize,137.4138920833334,165.36771629166682,19.763374487916664,6.347181830416669,17.292329991249993,356.87027287500007,45.15330245416666,61.37782904166669,698.4397122916664,1745.5869004166668,134.1422185083334
Benin,78.86654681666667,108.89098055833345,35.44321386666668,13.635597105416657,35.95571492791666,150.31038092916668,24.2332051975,55.30743466249997,383.82234200000016,2622.6410145833315,50.23720016666667
Bhutan,113.88932501250001,254.7324047458334,32.82384675708334,3.0292164512500013,3.9519658691666653,204.87369884999995,97.7202521166666,38.857852645833326,500.93864279166644,1744.196525833334,44.17514280833333
Bosnia Herzegovina,65.48706503333332,104.11770177500007,5.766063437500003,7.768329609583332,81.89623605,69.86606161250003,33.45444212083334,70.20873170000006,582.1374171250003,2014.4832279166667,194.83282141666658
Botswana,47.440755612500034,119.22260022499998,2.6685006181249986,11.635198931666668,20.614189107083345,228.76107221666652,26.872978282916662,85.25086350416665,595.2879219166665,4091.5615974999982,110.66269556250002
Brazil,106.41021153333335,113.18464796250002,113.29617882500003,1.6947322555416662,62.689117295833306,103.39794888750004,61.82280210416669,79.13299824583335,588.5978710416668,1863.956538333334,119.42940308333338
Brunei Darussalam,84.46070965833339,152.3899432916666,258.85286233333335,5.147292922083334,19.64644761375001,136.7883419720833,25.338263908333342,93.75853039999998,488.52360866666646,2273.855737499999,77.12484615833338
Bulgaria,75.34839453750003,148.14927156666667,7.360126924583329,2.769606541499999,31.585238299999993,90.27787739166673,20.240165332916682,79.90021371666668,551.8458479999997,4488.524251666665,139.11307805416664
Burkina Faso,112.11658687916662,127.88087925416669,18.27208776749999,56.309323845833326,24.134799972083318,72.92522269166668,26.64598693416668,84.38040143333342,376.67981854166675,3504.9446458333314,44.46178463750001
Burundi,90.67892870833336,160.1410948791668,157.26165090416663,19.469358150833326,15.30971656124999,181.2969894166666,31.821636379166673,36.16414355000002,310.16193849999974,2758.2000712500026,51.57736421666665
Cabo Verde,127.79676799166666,156.28824662083343,11.019316474166663,3.6573106937499977,24.899977342916664,311.2323016583332,30.49295846374999,80.9264692083333,537.8236527916666,1928.479161250001,97.8355938958334
Cambodia,120.33290989583328,122.13339680416676,17.726793016666665,4.872468371666667,82.20171165000001,110.11642873041667,34.21174883750002,44.04278633333335,345.47100516666677,1168.9900005833333,32.04149352083334
Cameroon,96.12046306249991,126.58331628333335,63.919795441666686,7.138559977083332,35.93208563166666,82.70669032499995,15.05947421625,43.723443545833334,447.1036177500002,2655.1666808333316,81.35908053750003
Canada,150.48709002500007,141.5501976208333,11.458924928333323,6.253032695833329,67.13750761666667,151.60571136666667,83.02404332916663,79.66446652083329,862.2807704166675,2537.135495416666,190.238288
Central African Republic,92.95619311666665,138.87569846666665,49.29817723333331,7.122816392499998,72.09337088749999,237.4587800416667,53.51376926250005,50.90264682083331,466.91831762500027,3434.891296250001,32.35369406666667
Chad,94.44536523333335,109.71182441250002,13.892125627083338,26.815229916666674,35.93836149041666,199.68825300416654,11.95598763208333,66.27487884583337,405.2978258750002,2405.681174583334,85.31679137916666
Chile,110.73300954999996,138.38047079583336,22.964011052500002,12.611493370416666,13.665305596249999,337.95162170833345,9.616608038333336,70.7637978333333,606.1404510416667,3093.622995416666,161.7779291375
China,115.81076326249999,343.63591962500027,17.093542145833325,1.9155521777083322,58.70812805833331,7.5744021597916715,0.11000982914583338,36.998149575000035,285.2673464583333,1178.3364421666663,15.28077326583334
Colombia,88.55998038750003,106.77562009583329,50.63724320000001,5.693673599583338,80.42006502916662,468.56745820833333,120.74864724583331,55.81501154166671,545.78005475,1725.2210366666661,192.98074653333322
Comoros,65.90954895833332,95.52787339166669,98.56424875416668,20.284532968750007,19.725383095416667,330.4229567124999,88.19093366666671,61.636771729166654,526.8448607916666,2244.0520545833333,94.45967651666662
Congo,128.45445586249997,138.24035418333338,37.989902612499996,5.411322079583334,63.93874997083329,141.1944332624999,62.96522425,63.640505799999985,434.4329407083336,1913.374535416666,82.47728043750003
Costa Rica,84.88098930833335,133.65443431250006,46.93560882500002,1.9859844005000002,51.43119856250001,313.7161399166667,42.054888920833314,57.76697318750004,625.1112251666667,1608.3268745833343,178.38799526666676
Croatia,88.9959776333334,81.86164908749998,12.08939685875,2.827336390666666,73.86888716666664,134.06380412916664,47.76457340416669,99.23656720000001,730.615622333333,4128.445497499998,159.19153775000007
Cuba,108.47879650416671,107.32092542916664,21.371788055833317,4.514643937250001,38.180654766666656,378.4981580833333,27.671330929166665,69.31857356666663,755.2900529166673,1207.7255260416664,100.69733727083332
Cyprus,209.5722607458332,172.0721258666667,51.665501154166684,6.047436583333333,113.56616733333338,217.1167910125002,69.95712271250004,80.79806072083328,838.5620874166672,3540.383451666667,212.64728812499996
Czechia,85.7276035041666,88.00653366666664,5.723487218749999,2.1324119156666668,33.57497857083332,55.735223375000004,16.23006469125,88.30503055416662,680.4265047499998,3956.37792,74.24190092499997
