countryname,Fruit Consumption,non-starchy vegetable consumption,Beans and Legumes,Nuts and Seeds,Unprocessed red meat,sugar-sweetened beverages,Fruit Juices,Protein,Calcium (milligrams),Potassium (milligrams),Total Milk
Afghanistan,120.43527352083338,134.55107966249997,11.203770197083337,4.415795249166666,2.668415652708334,107.55696193749999,56.76281580833329,62.86628555416666,456.4189910000001,1841.809639166667,17.869223212500007
Albania,151.9747276249999,126.51028300833329,40.305656970833326,19.13033314291666,56.848294762499954,97.02121897916668,27.227340781249975,71.31910028750005,644.7769322916665,3649.0373808333316,119.94498829166666
Algeria,105.91538752916671,158.7386232750001,16.20645812958334,5.574157627083332,40.280402166666676,334.32391612499976,41.46516672916667,67.72435610416667,709.7610349166666,2291.2811950000014,152.54056575416678
Angola,89.05666570416659,133.14740379583333,8.254606217083332,9.315982489583332,16.601643884583346,141.71546907916667,15.252641927083337,71.08791502083332,511.27556883333335,2385.995243750002,44.20012114583331
Antigua and Barbuda,127.84470887916665,153.08689610416675,62.49826009583334,5.550527325833333,28.43223995875001,326.88019858333297,74.17269800416662,85.08875320000001,717.8165822083331,2252.639721250002,160.0041858083333
Argentina,76.62446904999999,109.19358157916665,3.239587762083333,0.9894423946666671,68.76160780833331,271.30272249999973,39.77263720416665,79.86349179583327,604.5287150833335,2015.1284304166659,77.0446139916667
Armenia,78.40590420833338,85.70694931250002,24.562887233750008,2.9556610404166643,25.801198545833326,69.22860686666668,47.44623791249999,71.90914165416669,668.7013567916666,3173.905738333335,64.14050406666671
Australia,161.45171758749996,134.88265193750001,37.56602804999998,3.3001676616666655,81.71845445000004,141.0935020125,35.51396218750002,81.63391083750003,861.3822867499995,3406.4440766666653,204.97647495833306
Austria,109.92198802499999,96.96425636666667,6.956991121249997,3.440289030416671,109.04957895416663,143.49724776250008,62.358976358333365,67.05445411666663,758.847904958334,2518.1274874999995,96.96253145416664
Azerbaijan,94.23439497083335,76.90008948750004,21.76028840166666,4.413504643083334,25.304898502083326,68.36140845,13.334250253750001,93.71572438333338,772.4570168333329,4503.929660833333,80.28103562499999
Bahamas,84.31657780000003,116.44601187916662,44.03753319166666,4.233305563458334,36.06125509041668,345.1025850833334,56.569830200000034,87.93167645833334,808.2874197916666,1837.695630833334,119.11419993750003
Bahrain,63.032645241666636,120.56075443749995,168.99104708750002,1.7857627307500004,1.834004168541666,786.3379981666661,101.61616242500006,55.5996187166667,820.6330096666662,1578.9706387499998,87.7357297416666
Bangladesh,101.23938140416666,238.81585079166678,51.857895653750006,1.381488460083334,11.127131972083323,100.76914033750005,31.954885441666658,65.93927965416668,503.37030766666675,2149.3823700000007,52.64490187083334
Barbados,107.29036306250002,144.84585568749998,13.291447589999997,8.66229809875,55.8448143,581.0635701250001,9.489583296666671,69.75347134166672,587.9690417083336,1967.46424,69.95133077916668
Belarus,60.999896200000016,70.71979905833335,10.293025365416668,1.8216830558333323,50.71923551666665,49.748991331250004,17.14395481791666,69.47295185000002,683.3413205833333,3903.8736700000018,97.3494237708333
Belgium,120.69400100416672,112.70502556666672,2.750543815833332,1.8668649674999993,59.57795914583338,261.7811406416667,55.90406617916666,81.17141606250009,831.1649637083341,3996.5273845833353,86.7468315208333
Belize,149.2690457083333,162.75625425000004,15.049535966666667,2.695559357916664,17.429834682499987,337.9150032500004,27.751716554166656,64.0597211208333,769.1077724583331,2313.8514770833344,131.12747004166673
Benin,78.38218761666667,105.80074634166675,27.492669982500008,27.371719233333344,21.458353722083338,196.69833497083334,18.170903332499982,51.28708083749998,449.08248195833323,3328.035083333333,49.354848691666675
Bhutan,103.4262492208333,217.0368289499999,24.288347719583335,2.9135784695833338,5.866888333333334,185.63127295833328,46.73970297916665,88.14670345416671,671.4299512083337,2025.961270833333,39.08194113750003
Bosnia Herzegovina,77.01981418333331,108.54375677083334,3.662376315833335,4.575856721000002,48.8616656791667,79.37735748333343,31.07893065416666,74.02252752500003,772.5482361666668,3122.254109999999,179.9857415833332
Botswana,53.4647730666667,100.98709544583328,3.832002433749999,4.210683136666669,23.23202711791667,299.2537889374999,20.19982736875001,97.16895707916657,694.9572267083333,4408.502487083334,90.44725892083336
Brazil,98.63227400833334,99.42980561250002,97.18376014166668,0.5640217124583332,62.90243363750002,123.21147223333334,58.21816937083336,86.63643084166664,605.1989219166666,2207.703623333334,102.27010444166669
Brunei Darussalam,69.2717146958333,145.32079379166672,230.79081112500003,9.821987261249998,16.61876375416667,168.64763197166664,18.621662925416658,75.83655678333335,514.8942333333334,1519.61796875,84.62965655833331
Bulgaria,99.65184696666668,132.18240290416668,8.895971569583335,2.5706298547083333,29.74558117499999,96.23728423333333,28.12650216250001,88.52242740416663,650.4928802500004,3961.1381158333306,135.12680309166666
Burkina Faso,59.437363741666644,104.71317768333331,15.112945647499997,3.16910345125,14.179278024166667,87.85222397500003,21.37060743208334,94.54086134999993,515.990665375,3031.314931250001,32.547048933333336
Burundi,113.38737888333344,184.61099872083338,191.10450332500002,6.012078085833331,21.672173543749995,156.45922232916666,44.008734325000006,51.53434964166667,311.33486395833364,1949.656532500001,48.89725508749999
Cabo Verde,146.97776781250005,156.04607439999992,6.130735700000002,6.483130883333332,19.999089908333346,300.88746579166667,21.959042318333342,85.15808723750001,548.4525102916664,3470.9207641666662,88.54463008750002
Cambodia,77.5356141125,105.23038081250004,5.006514994583335,4.320568312083335,40.329773595833366,116.47038975249998,9.436434537916673,58.11891635833336,403.83707791666654,1490.548204583333,20.505728343750004
Cameroon,113.71538597916667,113.55810425416662,33.34732834999999,4.7188826462500035,29.25526312666665,91.53661880000001,17.370189215833328,43.81507709583336,466.2526990000002,3672.2708587499997,71.21151376249999
Canada,144.00108785416674,132.61221887083326,7.270664643333336,6.816068014166672,58.50617349583335,163.5515285541666,76.77526654999994,76.08623106249999,899.8526853749997,3023.3205129166654,191.7844100833334
Central African Republic,84.56599947499998,131.5741144125,33.244171500000014,8.397365980416671,87.95337916666664,167.02156488750003,19.415300585416666,57.2850253541667,449.11721912499996,2959.1096833333318,26.380811071666667
Chad,88.79186046666662,102.76198694583333,8.88730938916667,28.796375925000007,49.017680178333336,216.32540788333327,9.938076869166666,72.26791864583335,431.7139104583335,3169.691222916666,82.08752696250002
Chile,120.08361517083338,135.76790228749996,21.76096377041667,4.63211319195833,10.550769510416671,311.29636787499993,5.028718556249996,76.54211835833331,656.6759170000003,2402.4464162500003,141.9283343166666
China,139.58271950416656,279.69632750000005,15.396203601249995,2.4478499762499975,44.04215616250004,9.006042886625,0.11359508744166662,55.98273480416665,352.7502719999999,2185.189379166666,10.14057483583333
Colombia,115.87967430416663,102.27415294166667,46.257917812499976,3.401143574333333,83.24437183333336,263.05108512500004,55.76030074166666,68.44262934166666,570.5486884999996,1705.2296062499984,167.1187370000001
Comoros,61.605383408333346,101.22098861250007,118.00072233333339,11.38650809541667,11.278841355000013,437.21802244583347,90.56072855833332,58.309161008333376,454.9694749999999,3455.388435,109.02486815416668
Congo,103.78880094583336,128.38623614166664,25.38007606249999,6.520229458333332,52.76991727708332,137.12644052500005,32.234007289999994,64.78673945833337,456.39457554166694,2270.4683433333344,73.73986285833338
Costa Rica,122.15636676666672,119.01483356666661,41.003868316666654,1.887533113625001,40.00584897083334,341.77784533333346,36.07254427083331,68.55988174999999,673.7586068333336,1752.2244270833332,147.33239707083328
Croatia,54.34914244166667,88.92814375000002,22.651299945833326,4.818530644916668,42.2001196,77.54481756250003,36.88792232499999,88.63116344166669,728.5336234999997,4253.929688333334,149.1345206833333
Cuba,125.08373460833339,106.76164832083332,10.156258489583335,4.4614617287083345,37.8510882125,383.88533720833334,23.31445914583332,64.03923170416667,786.303903583333,2335.5091745833347,78.6682864416667
Cyprus,148.49568775833333,155.60352676250005,53.654331908333305,9.555179054999995,151.29038445416668,191.8666115541668,46.388171079166696,105.80958690416657,878.9887020833336,3040.5669237499997,169.644964
Czechia,106.83969747083333,88.92478035000003,4.836471641666664,1.6211056664166676,31.590441400000014,70.38470314583331,22.566369415416677,86.76312323333335,752.1929597916663,3581.656415416665,68.3934072333333
C̫te d'Ivoire,80.23230095833334,116.85029291250011,1.8577807500833332,4.3584564016666665,38.63582639166666,202.26581933749986,29.149354364583328,60.15930631666663,557.2974212083333,3283.726709999998,40.39869621249999
Democratic Republic of the Congo,96.63657852083331,196.58712989166665,33.76508804583333,28.45511089583335,31.85515216833335,151.9101678041667,37.542359874583376,46.81324477916663,423.46158154166693,4539.280105833334,63.798852916666696
Denmark,121.5057449541667,97.03426629166665,8.901026155416666,3.8387874758333314,58.50129276666664,82.58729134166664,25.26774305416668,79.3203043583333,958.3339324583336,3316.1400112500023,140.28382389583328
Djibouti,77.05889281249996,105.80770949166667,37.8419466625,1.5813393255,12.90151517666667,435.8437201874998,35.28718587416668,64.64034156249997,652.4167752083333,2842.2711137500014,96.61899978333332
Dominica,110.22223715416663,104.29767450416662,22.93432625041668,26.689948825000005,23.805713943749986,256.13498941666654,35.54042132916662,82.18471122083335,692.9520912083335,2448.368296666667,71.88027910833331
Dominican Republic,174.00057675000002,85.9861751375,70.91508615416667,1.6027275271666674,56.705128783333336,357.70408333333336,175.8100612916666,68.23263040833336,767.9494434583335,2248.94957,166.38116405416662
Ecuador,100.84705003749997,91.92485915416664,34.589911391666675,0.1765382652416667,58.31032059999997,127.73404047916664,44.33911299166663,49.45926465,503.0409492916668,1236.9507375000005,72.87038090833333
Egypt,105.92970695833326,146.11461965416663,64.81508339999999,5.417500644166669,29.02418464000001,255.04681150000002,70.46245712916667,55.727743016666665,599.0170272916663,2464.0568716666658,60.983487008333356
El Salvador,122.92536108333336,121.21546998749996,24.328867173333325,3.2545401364999993,31.21143805874998,394.3473470416666,35.2006405291667,76.57493981249999,737.8207000833332,2035.5395791666676,124.21893134166672
Equatorial Guinea,75.23099077499995,96.83287786666666,227.7180322416665,5.235566877916664,10.465644223750001,158.78820128750002,13.323044178333335,102.15067201666669,535.9274159166666,2604.6541349999993,63.72228347083332
Eritrea,52.77179990833335,75.79361612499996,26.533256287916654,23.019192905833343,18.854658474583328,237.5576987541666,19.99328128458334,29.371563837500005,504.5492645416665,2727.202312499999,79.15351439166668
Estonia,90.68674482083337,104.71304471666659,0.8961758285416674,1.1014397196250003,64.51971047916665,43.03446513625001,24.531160559583352,78.93563021666657,767.1300798749998,3896.271149583335,183.403343625
Ethiopia,56.4729110125,82.703406475,36.72599776666668,10.491365512916662,17.87296007708333,274.70953942500006,12.633274081666668,77.1722974875,752.6869519166667,2446.400147916668,72.34238789999998
Federated State of Micronesia,144.87333887083332,189.91494787500005,815.1527162083329,8.133658585833333,5.294007090000003,188.7901332704167,8.22460689625,48.247677875,452.7933497916668,1206.7063700833335,28.323812083333337
Fiji,103.27601275000006,187.45467383333335,11.748736903333334,3.8464887591666663,11.127560731666668,168.9889284079165,8.457051104583337,69.70897694999995,590.6555048749998,2251.7883845833335,53.34876771666665
Finland,104.56155765000004,92.4917593625,4.997284302916665,2.1721226524999993,43.369882704166656,93.95884102916668,84.24353886250002,80.13842280416662,1194.4570441666667,2679.3725058333334,257.9530336250001
