year,superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
1990,MENA,AFG,Afghanistan,0,0,0,1,90.55471,84.117104,5.6343703,4.3539882,.83652645,270.93817,133.13512,40.546749,345.52682,1571.7443,17.01754
1990,MENA,AFG,Afghanistan,0,0,0,2,113.9384,90.752251,6.3334122,5.6324649,1.0200975,321.28622,193.70103,41.865845,361.60669,1646.4115,23.053528
1990,MENA,AFG,Afghanistan,0,0,0,3,137.80344,101.27641,6.7485099,6.6844463,1.233503,290.88626,236.07452,42.435375,375.04581,1707.239,28.304703
1990,MENA,AFG,Afghanistan,0,0,0,999,95.2873,85.731277,5.7542787,4.5944586,.87556291,275.215,143.98749,40.757561,348.56635,1585.7443,18.173428
1990,MENA,AFG,Afghanistan,0,0,1,1,105.2903,88.188904,6.2516475,4.9521136,.99670219,232.14955,175.82297,40.40527,372.26532,1586.8572,19.721483
1990,MENA,AFG,Afghanistan,0,0,1,2,133.27528,93.571053,6.6573515,6.5247927,1.2491817,275.03668,249.9126,41.998196,390.19708,1660.5143,26.852631
1990,MENA,AFG,Afghanistan,0,0,1,3,161.11974,104.77746,7.2280498,7.8837638,1.4959041,248.81544,312.57715,42.460861,405.07492,1728.022,33.094284
1990,MENA,AFG,Afghanistan,0,0,1,999,110.90233,89.691269,6.3450828,5.252614,1.0470091,235.76904,189.88153,40.64357,375.647,1601.2103,21.089821
1990,MENA,AFG,Afghanistan,0,0,999,1,93.675262,84.979393,5.7650909,4.4806533,.87044686,262.72391,142.17513,40.516788,351.18924,1574.9447,17.590153
1990,MENA,AFG,Afghanistan,0,0,999,2,118.03337,91.34919,6.4020128,5.8214331,1.0686107,311.49194,205.60497,41.893875,367.66129,1649.3981,23.858065
1990,MENA,AFG,Afghanistan,0,0,999,3,142.74113,102.01782,6.8500619,6.938426,1.2890717,281.97693,252.27548,42.440773,381.40506,1711.6403,29.318993
1990,MENA,AFG,Afghanistan,0,0,999,999,98.594093,86.569885,5.8793936,4.7338362,.91187006,266.86154,153.70648,40.733421,354.30121,1589.0195,18.791033
1990,MENA,AFG,Afghanistan,0,1,0,1,102.90916,141.3282,9.7767162,7.2513633,1.1151233,179.13683,135.03221,43.416077,368.20963,1641.618,12.04689
1990,MENA,AFG,Afghanistan,0,1,0,2,129.76164,150.36975,11.163228,9.6679592,1.3939648,211.81535,194.87358,44.973057,385.54974,1720.6934,16.657415
1990,MENA,AFG,Afghanistan,0,1,0,3,157.21616,168.89182,11.695873,11.410522,1.6755793,192.31467,241.92767,45.538937,401.63321,1789.3752,20.296442
1990,MENA,AFG,Afghanistan,0,1,0,999,108.34735,143.83009,9.9935312,7.6881251,1.1713431,181.92938,146.12982,43.657215,371.60242,1656.7528,12.902905
1990,MENA,AFG,Afghanistan,0,1,1,1,119.82194,146.29657,10.673797,8.3759308,1.3559986,153.52782,178.53677,43.367325,397.28983,1657.7604,14.32135
1990,MENA,AFG,Afghanistan,0,1,1,2,151.18886,157.1474,11.675351,10.967566,1.6886339,180.6561,255.31194,45.024639,414.27347,1738.0361,19.665937
1990,MENA,AFG,Afghanistan,0,1,1,3,182.98625,176.03741,12.721408,13.004857,2.0212181,166.24527,313.60583,45.445881,432.15344,1805.1556,24.024088
1990,MENA,AFG,Afghanistan,0,1,1,999,126.15468,149.05774,10.878227,8.8565121,1.4228214,155.97462,192.62471,43.610916,400.76666,1672.9366,15.323759
1990,MENA,AFG,Afghanistan,0,1,999,1,106.49077,142.38036,9.966691,7.4895129,1.1661334,173.71361,144.24518,43.405754,374.36795,1645.0364,12.528552
1990,MENA,AFG,Afghanistan,0,1,999,2,134.29929,151.80505,11.271681,9.9431772,1.4563669,205.21675,207.67262,44.983978,391.63257,1724.366,17.294529
1990,MENA,AFG,Afghanistan,0,1,999,3,162.67349,170.40506,11.913052,11.748155,1.7487754,186.79396,257.10699,45.519234,408.0965,1792.7172,21.085848
1990,MENA,AFG,Afghanistan,0,1,999,999,112.11841,144.93715,10.180883,7.935554,1.2245985,176.43294,155.97604,43.647411,377.7785,1660.1801,13.415569
1990,MENA,AFG,Afghanistan,0,999,0,1,95.629013,107.61525,7.3357439,5.5440187,.95095372,233.23285,133.91431,41.725258,354.84326,1600.4434,14.975958
1990,MENA,AFG,Afghanistan,0,999,0,2,120.43744,115.23878,8.3171492,7.2899523,1.173655,276.32355,194.18265,43.142059,371.44077,1676.9211,20.426472
1990,MENA,AFG,Afghanistan,0,999,0,3,145.77678,129.0479,8.7805271,8.6255741,1.4150758,250.40024,238.47858,43.710091,385.966,1740.9746,25.015493
1990,MENA,AFG,Afghanistan,0,999,0,999,100.65141,109.59405,7.4954557,5.8651118,.9970479,236.90009,144.86742,41.948532,358.02789,1614.9095,16.008682
1990,MENA,AFG,Afghanistan,0,999,1,1,111.25884,112.05531,8.0679445,6.3583689,1.1442751,199.85747,176.93761,41.621868,382.54358,1615.9791,17.503502
1990,MENA,AFG,Afghanistan,0,999,1,2,140.63287,119.68358,8.71838,8.3495598,1.4296765,236.272,252.13023,43.241234,400.08588,1692.3545,23.90086
1990,MENA,AFG,Afghanistan,0,999,1,3,170.10091,134.04585,9.4843216,9.9871368,1.7116649,214.90164,312.99963,43.68689,416.19681,1759.7029,29.368908
1990,MENA,AFG,Afghanistan,0,999,1,999,117.16688,114.07469,8.2069674,6.7328324,1.2013654,202.99529,191.00822,41.862339,385.96432,1630.6702,18.72154
1990,MENA,AFG,Afghanistan,0,999,999,1,98.938942,108.55553,7.4908023,5.7164736,.99189335,226.16495,143.02534,41.703362,360.70935,1603.7333,15.511216
1990,MENA,AFG,Afghanistan,0,999,999,2,124.71423,116.18006,8.4021177,7.5143456,1.2278727,267.84186,206.45421,43.163063,377.50696,1680.1895,21.162243
1990,MENA,AFG,Afghanistan,0,999,999,3,150.92789,130.10631,8.9295692,8.9139118,1.4778844,242.88269,254.2599,43.705177,392.36795,1744.9407,25.937414
1990,MENA,AFG,Afghanistan,0,999,999,999,104.1489,110.54292,7.6461325,6.0488691,1.0403162,229.72006,154.63866,41.930279,363.944,1618.2472,16.583185
1990,MENA,AFG,Afghanistan,1,0,0,1,92.192612,81.979683,5.4356842,4.2717781,.89587456,247.98531,132.63948,39.056477,344.50122,1629.9348,16.729572
1990,MENA,AFG,Afghanistan,1,0,0,2,116.02241,88.427467,6.0440807,5.8777609,1.0965278,290.47574,192.28168,40.710121,359.01047,1701.98,22.719421
1990,MENA,AFG,Afghanistan,1,0,0,3,140.31764,99.191872,6.407661,6.9591265,1.319859,264.27341,237.0103,40.981323,375.11389,1772.8871,27.839346
1990,MENA,AFG,Afghanistan,1,0,0,999,97.013672,83.587135,5.5402107,4.5564904,.93782544,251.55515,143.54335,39.288742,347.5314,1644.3264,17.870037
1990,MENA,AFG,Afghanistan,1,0,1,1,106.9606,85.735184,5.7231917,5.0130672,1.102213,211.82857,173.92044,39.124016,372.40512,1641.327,19.877071
1990,MENA,AFG,Afghanistan,1,0,1,2,136.01454,92.116486,6.4411187,6.4596205,1.3382332,252.89359,245.67879,40.557262,390.09985,1710.603,26.820601
1990,MENA,AFG,Afghanistan,1,0,1,3,164.54013,103.66144,6.7950411,7.7210908,1.6098745,228.39543,308.40067,41.104931,403.14825,1787.9813,32.702709
