year,superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2010,MENA,AFG,Afghanistan,0,0,0,1,75.893738,80.66552,7.1625462,1.9921336,1.569726,264.87506,39.41885,52.784222,362.31989,1617.3848,16.326218
2010,MENA,AFG,Afghanistan,0,0,0,2,95.420654,86.244095,8.0132446,2.6006446,1.9821265,314.5704,56.756001,54.699837,378.27563,1688.2877,22.425262
2010,MENA,AFG,Afghanistan,0,0,0,3,115.4813,96.982857,8.4693718,3.1116853,2.3193972,286.21945,71.664688,55.179966,395.96591,1757.2329,27.560219
2010,MENA,AFG,Afghanistan,0,0,0,999,86.005646,84.332047,7.5381875,2.2895277,1.7698672,278.27798,47.946068,53.545147,370.78412,1653.4963,19.308964
2010,MENA,AFG,Afghanistan,0,0,1,1,88.438538,84.988373,7.5351572,2.226191,1.8766942,228.79779,51.758606,52.651958,389.30591,1637.0664,19.308493
2010,MENA,AFG,Afghanistan,0,0,1,2,111.25884,90.589638,7.9142795,2.8826256,2.3450308,271.034,75.029099,54.39323,407.27399,1712.9174,26.315195
2010,MENA,AFG,Afghanistan,0,0,1,3,135.52444,102.31424,8.826664,3.5494275,2.8639066,249.20357,93.064407,55.136829,424.55154,1781.0011,32.969639
2010,MENA,AFG,Afghanistan,0,0,1,999,100.3835,88.816139,7.8126898,2.5649459,2.1250806,240.54077,62.897305,53.391335,398.42706,1674.8173,22.85243
2010,MENA,AFG,Afghanistan,0,0,999,1,78.871498,81.691635,7.2509928,2.0476918,1.642591,256.3114,42.347939,52.752823,368.72556,1622.0565,17.034119
2010,MENA,AFG,Afghanistan,0,0,999,2,99.180176,87.275604,7.9897537,2.6675785,2.0682693,304.23621,61.093491,54.62706,385.159,1694.1342,23.348618
2010,MENA,AFG,Afghanistan,0,0,999,3,120.23894,98.248367,8.5541821,3.2155921,2.4486475,277.43298,76.744339,55.169727,402.75128,1762.8748,28.844254
2010,MENA,AFG,Afghanistan,0,0,999,999,89.418526,85.396439,7.6033468,2.3549039,1.8541843,269.32031,51.495049,53.508644,377.34576,1658.5574,20.150078
2010,MENA,AFG,Afghanistan,0,1,0,1,85.633667,133.43706,12.150146,3.312288,2.0952725,171.73874,40.240463,56.46278,383.67892,1692.5419,11.823789
2010,MENA,AFG,Afghanistan,0,1,0,2,107.91002,142.4191,13.168149,4.3975339,2.60289,203.49023,58.169518,58.602955,402.49588,1772.8405,16.320101
2010,MENA,AFG,Afghanistan,0,1,0,3,131.31354,159.9473,14.655825,5.1863675,3.1682272,184.95683,71.7369,59.366848,418.40579,1843.801,20.011713
2010,MENA,AFG,Afghanistan,0,1,0,999,97.249855,139.37746,12.745933,3.8236377,2.3649487,180.23706,48.771458,57.348236,392.89185,1732.333,14.008125
2010,MENA,AFG,Afghanistan,0,1,1,1,100.16215,138.57985,12.883428,3.7797852,2.5456021,148.06923,52.298859,56.574802,414.66003,1708.9198,14.099907
2010,MENA,AFG,Afghanistan,0,1,1,2,126.42051,148.3709,13.94354,5.0218463,3.1660688,174.53114,75.529099,58.663467,433.78546,1795.2402,19.215118
2010,MENA,AFG,Afghanistan,0,1,1,3,152.46255,166.92909,15.670021,5.9941049,3.812006,159.28548,94.17923,59.3643,451.22382,1863.3163,23.578632
2010,MENA,AFG,Afghanistan,0,1,1,999,113.61485,144.97008,13.531389,4.3758078,2.8682294,155.18289,63.518623,57.432014,424.22086,1750.4207,16.610342
2010,MENA,AFG,Afghanistan,0,1,999,1,89.082298,134.65781,12.324205,3.4232578,2.2021673,166.12033,43.102768,56.489372,391.03293,1696.4297,12.364072
2010,MENA,AFG,Afghanistan,0,1,999,2,112.30385,143.83188,13.352203,4.5457268,2.7365718,196.61621,62.290161,58.617317,409.92307,1778.1573,17.00729
2010,MENA,AFG,Afghanistan,0,1,999,3,136.33368,161.60457,14.896565,5.3781004,3.3210411,178.86322,77.064041,59.366245,426.19583,1848.4335,20.858395
2010,MENA,AFG,Afghanistan,0,1,999,999,101.13441,140.70497,12.932376,3.9547062,2.4844124,174.28996,52.271992,57.368122,400.32843,1736.6266,14.625813
2010,MENA,AFG,Afghanistan,0,999,0,1,79.958038,102.68616,9.243784,2.543011,1.7890273,226.01089,39.761696,54.319221,371.2326,1648.7465,14.447433
2010,MENA,AFG,Afghanistan,0,999,0,2,100.63225,109.68494,10.164296,3.350455,2.2411604,268.2186,57.345833,56.328541,388.38232,1723.5701,19.877686
2010,MENA,AFG,Afghanistan,0,999,0,3,122.08781,123.25682,11.050871,3.9774139,2.6735992,243.96432,71.694824,56.927078,405.32968,1793.3562,24.41036
2010,MENA,AFG,Afghanistan,0,999,0,999,90.697655,107.30153,9.7112885,2.9296849,2.0181842,237.36722,48.290489,55.132111,380.00928,1686.3934,17.097015
2010,MENA,AFG,Afghanistan,0,999,1,1,93.330597,107.35116,9.7668972,2.8744786,2.1558177,195.11118,51.984043,54.288891,399.88574,1667.0496,17.13504
2010,MENA,AFG,Afghanistan,0,999,1,2,117.58554,114.70074,10.430183,3.7752848,2.6876357,230.76505,75.23774,56.175125,418.33676,1747.2693,23.352457
2010,MENA,AFG,Afghanistan,0,999,1,3,142.59244,129.27689,11.682278,4.5695486,3.259532,211.68234,93.52961,56.900879,435.68146,1815.3499,29.050938
2010,MENA,AFG,Afghanistan,0,999,1,999,105.90471,112.24819,10.199002,3.3205867,2.4351835,204.92241,63.15657,55.077438,409.19037,1706.3652,20.247715
2010,MENA,AFG,Afghanistan,0,999,999,1,83.132286,103.7935,9.3679562,2.6216915,1.8760924,218.67624,42.662914,54.312019,378.03403,1653.0911,15.085391
2010,MENA,AFG,Afghanistan,0,999,999,2,104.65645,110.87554,10.227409,3.4512968,2.3471401,259.32825,61.592834,56.292122,395.49258,1729.1956,20.702492
2010,MENA,AFG,Afghanistan,0,999,999,3,126.95499,124.68579,11.200747,4.1179686,2.8126819,236.30154,76.877739,56.920856,412.53427,1798.5768,25.511892
2010,MENA,AFG,Afghanistan,0,999,999,999,94.307358,108.47573,9.8270578,3.0224733,2.1171675,229.6658,51.819252,55.119137,386.93604,1691.1343,17.844898
2010,MENA,AFG,Afghanistan,1,0,0,1,77.356239,79.939041,6.6866293,1.963444,1.7169769,243.8663,39.543201,51.102036,359.50183,1662.7797,16.409746
2010,MENA,AFG,Afghanistan,1,0,0,2,97.425644,85.630173,7.8263683,2.5677595,2.1253474,284.97119,57.648308,53.098747,375.59845,1748.3333,22.640717
2010,MENA,AFG,Afghanistan,1,0,0,3,117.99583,95.547989,8.3130779,3.1301599,2.568728,260.75836,71.792152,53.691769,391.32889,1820.7192,27.325207
2010,MENA,AFG,Afghanistan,1,0,0,999,87.741653,83.518417,7.1705837,2.2673111,1.932153,254.83394,48.226799,51.909554,367.71219,1704.675,19.369804
2010,MENA,AFG,Afghanistan,1,0,1,1,90.174606,83.09938,7.1901226,2.2399309,2.0929112,208.66148,51.513771,51.101402,387.18597,1682.493,19.220829
2010,MENA,AFG,Afghanistan,1,0,1,2,114.61966,89.014175,7.6974692,2.9904678,2.5375481,248.97356,75.183342,52.838417,405.38879,1767.092,26.676003
2010,MENA,AFG,Afghanistan,1,0,1,3,138.53871,99.668411,8.5426254,3.6652284,3.1041646,224.37666,93.712448,53.417336,421.19879,1840.7577,32.377426
2010,MENA,AFG,Afghanistan,1,0,1,999,102.6479,86.87326,7.5031581,2.6136386,2.3402202,219.28542,62.872154,51.813683,396.16336,1724.2452,22.777451
2010,MENA,AFG,Afghanistan,1,0,999,1,80.398933,80.689209,6.8061433,2.0290735,1.8062124,235.50972,42.384655,51.101883,366.07318,1667.459,17.077013
