countryname,Fruit Consumption,non-starchy vegetable consumption,Beans and Legumes,Nuts and Seeds,Unprocessed red meat,sugar-sweetened beverages,Fruit Juices,Protein,Calcium (milligrams),Potassium (milligrams),Total Milk
Afghanistan,114.71186384583334,136.60742820000007,13.944410598749995,4.815708241666669,2.7453575325416666,141.4780262250001,74.80251360416669,58.99350444583332,443.53730325,1796.4502524999998,20.879313041666656
Albania,139.21701519999996,120.20289323749998,63.739444837499995,15.226669733749999,53.39637490416665,112.52357549583333,26.758706412083345,74.75207517916665,625.8975563333332,3639.481236249999,141.72147973333338
Algeria,85.12894891249998,158.01716420833336,22.270254908750005,4.697103451249999,30.983696125416667,290.1309369166666,34.652293145833355,68.75549470833334,696.9116139583334,2890.674259166669,186.63871428749997
Angola,108.43296760000005,131.22551431250002,9.51853888291666,22.036568935000016,23.89842229166666,155.55817878750003,19.48305504375001,71.70272614166672,496.8231836666669,2487.7759737500005,45.93604894166663
Antigua and Barbuda,128.29687290833334,150.8449064708333,68.11743560416667,12.682633439583332,36.20351324791667,420.72847716666706,85.25606399999995,88.6188759166667,681.9807710833335,2413.977091250002,154.7056869875
Argentina,85.66754722916663,112.94246032083336,3.2320386925,1.063687553791667,68.62716645833335,203.0690202208332,29.949557208333314,78.89519173750001,593.9744761249997,2104.971837500001,77.62559532916664
Armenia,71.74623922499998,85.58413892499996,21.70121184375,3.2493753928333335,31.984785329166684,79.26440476249996,41.21929737916665,72.20310125416671,664.2361955833334,2787.0153504166674,74.53163705833336
Australia,159.70352713333332,131.9583631,31.061221541666654,3.4074220212500004,86.13572815833325,134.71638307916663,31.972386316666665,84.5429123708333,835.3080032916666,3236.088537916666,185.09541695833337
Austria,130.68560599166668,100.0666348625,8.794316525416667,3.358061746666665,98.83506810833325,126.56486014166666,56.57086784999998,68.96188667083338,742.9488365416667,2979.857402083333,106.72569878749997
Azerbaijan,95.80690845000007,88.87362141666661,29.699514276249992,4.522950433333331,32.78595122083333,73.16564737500002,18.559166586249997,75.1370869041667,755.3408377083331,3490.7819379166685,106.04838883333333
