year,superregion2,iso3,countryname,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
1995,MENA,AFG,Afghanistan,0,999,999,1,118.66039,116.89153,8.7341633,3.6613817,1.7471755,302.13605,149.66353,41.832966,357.49188,1136.2759,17.226269
1995,MENA,AFG,Afghanistan,0,999,999,2,149.05894,125.09998,9.7833843,4.9329133,2.1673999,357.22147,214.069,43.234383,373.89639,1189.7776,23.505863
1995,MENA,AFG,Afghanistan,0,999,999,3,180.57176,140.65868,10.815914,5.892684,2.6328449,323.08191,266.24918,43.807465,389.70776,1237.8149,29.108128
1995,MENA,AFG,Afghanistan,0,999,999,999,126.80491,119.73016,9.010273,3.9695523,1.8624682,308.61893,165.59639,42.128651,361.77872,1149.9368,18.826416
1995,MENA,AFG,Afghanistan,1,0,0,1,110.83754,88.99527,6.357409,2.8135266,1.5781565,329.38171,140.2276,39.232292,339.47546,1145.6544,18.602383
1995,MENA,AFG,Afghanistan,1,0,0,2,139.00427,94.585297,7.1712804,3.7236941,1.9563854,393.04395,201.56889,40.673782,357.36899,1202.3661,25.584652
1995,MENA,AFG,Afghanistan,1,0,0,3,168.72731,106.47249,7.7557526,4.3221292,2.3830428,350.56665,248.46466,41.143105,371.17316,1258.1719,31.466808
1995,MENA,AFG,Afghanistan,1,0,0,999,118.43161,91.04554,6.5519528,3.0260828,1.6826283,336.59988,155.1483,39.525536,343.83917,1160.5781,20.350111
1995,MENA,AFG,Afghanistan,1,0,1,1,128.80836,93.133331,6.7656984,3.1964321,1.9089388,282.98471,184.10852,39.403996,365.99005,1158.3739,21.918468
1995,MENA,AFG,Afghanistan,1,0,1,2,161.53009,98.951195,7.4330964,4.301755,2.3360906,333.83063,261.92697,40.73848,382.06628,1210.6455,29.818476
1995,MENA,AFG,Afghanistan,1,0,1,3,195.86867,111.21634,8.3565502,5.1158099,2.807528,305.99231,327.76733,41.114334,400.35254,1263.173,36.829266
1995,MENA,AFG,Afghanistan,1,0,1,999,137.61319,95.257507,6.9655161,3.4624825,2.0259798,289.30188,203.61285,39.670151,370.44427,1172.2281,23.928158
1995,MENA,AFG,Afghanistan,1,0,999,1,114.72356,89.890083,6.4456978,2.8963261,1.6496848,319.34882,149.7164,39.269421,345.20898,1148.4048,19.319452
1995,MENA,AFG,Afghanistan,1,0,999,2,143.87527,95.529388,7.2278957,3.8486943,2.0384929,380.23969,214.62073,40.687775,362.70956,1204.1565,26.500175
1995,MENA,AFG,Afghanistan,1,0,999,3,174.59634,107.49829,7.8856683,4.4937544,2.4748333,340.92786,265.61304,41.136883,377.48288,1259.2532,32.626385
1995,MENA,AFG,Afghanistan,1,0,999,999,122.57944,91.956337,6.6413817,3.12045,1.7568747,326.37216,165.62828,39.556808,349.59229,1163.0974,21.123829
1995,MENA,AFG,Afghanistan,1,1,0,1,125.71588,148.629,11.484406,4.8100443,2.1216497,215.395,144.00058,42.279301,363.19897,1197.3337,13.415865
1995,MENA,AFG,Afghanistan,1,1,0,2,158.27364,159.60144,12.539556,6.4333835,2.605576,254.54305,205.52412,43.874981,381.67245,1259.1,18.323719
1995,MENA,AFG,Afghanistan,1,1,0,3,192.42767,178.99355,13.646348,7.613061,3.233959,231.54994,254.63834,44.262718,396.85001,1308.7058,22.720949
1995,MENA,AFG,Afghanistan,1,1,0,999,134.47545,152.29597,11.768282,5.1993399,2.2627988,220.11737,159.15419,42.591957,367.78812,1212.5741,14.668169
1995,MENA,AFG,Afghanistan,1,1,1,1,146.34573,155.87733,12.020428,5.4192429,2.6076031,185.66505,189.14009,42.145809,391.70007,1215.7493,15.942184
1995,MENA,AFG,Afghanistan,1,1,1,2,183.99135,166.48654,13.507023,7.3656397,3.1808684,219.50951,270.55411,43.745575,410.58118,1271.6537,21.621658
1995,MENA,AFG,Afghanistan,1,1,1,3,223.68863,187.29869,14.720462,8.7501268,3.9127712,198.82298,336.16678,44.257915,427.92038,1316.9379,26.941114
1995,MENA,AFG,Afghanistan,1,1,1,999,156.49284,159.60992,12.389005,5.8832941,2.7736773,189.67432,209.24904,42.470474,396.55615,1229.5782,17.412319
1995,MENA,AFG,Afghanistan,1,1,999,1,130.17688,150.19637,11.600315,4.9417772,2.2267323,208.96619,153.76154,42.250431,369.362,1201.3159,13.962155
1995,MENA,AFG,Afghanistan,1,1,999,2,163.83482,161.09027,12.748759,6.634974,2.7299771,246.96738,219.58618,43.846992,387.92365,1261.8146,19.036863
1995,MENA,AFG,Afghanistan,1,1,999,3,199.18753,180.78944,13.878614,7.8589401,3.3807454,224.47307,272.26807,44.261681,403.56866,1310.486,23.633518
1995,MENA,AFG,Afghanistan,1,1,999,999,139.2365,153.87755,11.902508,5.3472381,2.3732712,213.53438,169.98671,42.565689,374.00894,1216.2511,15.261565
1995,MENA,AFG,Afghanistan,1,999,0,1,117.0553,113.91662,8.5000162,3.6478853,1.805286,281.74585,141.80435,40.505657,349.38968,1167.2516,16.4349
1995,MENA,AFG,Afghanistan,1,999,0,2,147.05707,121.756,9.4147205,4.8560925,2.2276866,335.16345,203.2218,42.011585,367.52557,1226.0756,22.550257
1995,MENA,AFG,Afghanistan,1,999,0,3,178.63185,136.77954,10.217473,5.6974325,2.7386465,300.82874,251.04468,42.446812,381.90369,1279.2903,27.811852
1995,MENA,AFG,Afghanistan,1,999,0,999,125.13644,116.64252,8.7318926,3.9343019,1.9250855,287.92102,156.82239,40.807014,353.8476,1182.3076,17.975588
1995,MENA,AFG,Afghanistan,1,999,1,1,136.13736,119.35449,8.9616871,4.1253605,2.2009156,242.31416,186.21126,40.54982,376.73447,1182.3516,19.42094
1995,MENA,AFG,Afghanistan,1,999,1,2,170.91681,127.17468,9.9714336,5.5821738,2.6891291,286.05502,265.53229,41.995163,393.98285,1236.1412,26.392967
1995,MENA,AFG,Afghanistan,1,999,1,3,207.49481,143.01169,11.016073,6.6346159,3.2694168,261.20551,331.27753,42.428055,411.87329,1285.6416,32.696938
1995,MENA,AFG,Afghanistan,1,999,1,999,145.50313,122.15084,9.2320309,4.4741569,2.338448,247.66684,205.96828,40.840431,381.35663,1196.1953,21.205145
1995,MENA,AFG,Afghanistan,1,999,999,1,121.18161,115.09251,8.5998487,3.7511346,1.8908371,273.21918,151.40691,40.515209,355.30273,1170.5168,17.080601
1995,MENA,AFG,Afghanistan,1,999,999,2,152.21651,122.92773,9.5351038,5.0131001,2.3274691,324.54425,216.69585,42.008034,373.2467,1228.2522,23.381205
