countryname,Fruit Consumption,non-starchy vegetable consumption,Beans and Legumes,Nuts and Seeds,Unprocessed red meat,sugar-sweetened beverages,Fruit Juices,Protein,Calcium (milligrams),Potassium (milligrams),Total Milk
Afghanistan,134.145781925,147.5285276041666,19.41963222791666,7.599348798749998,1.9694354115416675,138.50078019583327,232.94738629166673,57.94817348333333,446.74381312499975,1707.1223937500001,23.02001119999999
Albania,145.30947879166675,132.4795172833334,66.03007467083332,18.81190751750001,86.47333357083335,106.22988153333333,47.088784425000014,74.17474851249995,602.6594221666671,2646.2632587499975,146.004340075
Algeria,72.84327911249999,168.06954789166667,22.089038530416662,5.89439316666667,30.68806337999998,240.90380912083313,31.15726908333331,65.46211367083335,684.1567804999999,1905.469309166667,190.30998365416656
Angola,103.62279704583331,136.57276905416674,9.691081450833337,61.09886153333333,35.05542814874998,152.27728768749998,39.34411243250001,83.3293914333333,435.2005742500001,2421.9604533333327,49.764724345833336
Antigua and Barbuda,120.55942000416664,143.85595850833332,66.23749236666664,4.49558492475,40.21811402083336,434.61399508333307,111.42227293749995,86.25740010833337,711.7254814166666,1984.2529195833351,181.69116922083327
Argentina,98.72432377083334,114.99855736249995,1.4927753995416675,1.5714780497500003,63.19854562500002,184.19045376666662,39.94541147916664,65.6005424041667,566.0599590416667,2242.950082916667,87.43747371250006
Armenia,89.58078721666669,90.57645350416668,32.03559302333334,7.242128108333335,56.35670698750005,70.91366770416666,61.61394165000003,70.24780938333336,669.1239584583333,1914.6247579166672,79.19694050833336
Australia,158.21942034999998,130.97268893333333,34.34890137499998,3.191858826250002,94.33947291666664,130.44125021250008,42.97434337083334,84.95036463749996,760.2963536666668,3338.7055820833343,193.2677174166666
Austria,119.55531872500003,102.50072300833337,13.96093712125,4.177258144583335,103.85337749166668,132.92819602499995,60.34244388749998,68.45950733333333,727.9216604583331,2838.5766691666668,118.45529443749999
Azerbaijan,116.87108078749995,80.65960067500005,740.6515710833334,8.24742021625,41.74673249166668,61.547976870833324,12.13843617375001,86.57408815000001,647.3908574166664,2590.088721249999,103.37615383333332
Bahamas,108.43041119999995,122.4111527458333,37.141460979166666,4.54967299479167,35.237738407916666,453.6922861250002,95.26025172916664,82.55415105000003,779.3331559166662,2754.8928620833353,142.4591220958333
Bahrain,59.312434520833364,141.64686749166668,126.95065737916664,7.505186119166667,1.5706925506666665,414.9489244583335,39.34998064583335,50.91499620416671,653.936537125,2774.163121666668,119.5143132166667
Bangladesh,95.03628859583331,254.10791086666674,59.55322044166668,1.493958867125,18.929658467916664,80.19042717083329,40.13756311250001,61.070039125000015,467.27541600000006,1133.3074105416665,51.20088082083336
Barbados,136.2810731416666,148.26785435416664,12.428893888333343,6.683313194166667,48.197372816666686,564.2414064166667,11.833746451666665,77.01259956666671,567.3600747916666,1822.7509824999995,68.87036722500001
