year,superregion2,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2005,Asia,0,0,0,1,101.60247,195.44017,28.376434,4.3836088,45.418537,78.212502,11.726326,53.647747,448.88965,1477.048,32.51873
2005,Asia,0,0,0,2,126.06221,239.12489,29.501705,4.7792988,67.528564,77.676933,12.566797,53.797329,458.85712,1493.6996,42.983341
2005,Asia,0,0,0,3,147.12009,247.54372,27.453356,5.7639337,73.044777,78.885834,18.442532,54.852684,496.44754,1545.4331,67.239632
2005,Asia,0,0,0,999,126.74885,231.6355,28.632431,4.982688,64.112762,78.16053,14.128741,54.07819,467.79861,1505.3334,47.829647
2005,Asia,0,0,1,1,124.63368,212.23019,28.57732,4.9744439,53.335415,67.79734,14.835981,54.989853,459.81363,1453.5818,42.730129
2005,Asia,0,0,1,2,151.85324,251.56949,29.091553,5.1523256,76.514519,74.610481,16.677099,55.312683,472.603,1500.4427,59.273537
2005,Asia,0,0,1,3,172.99692,246.34447,32.827789,5.3761559,78.863235,91.703163,29.075964,58.777874,537.41669,1680.3489,107.82449
2005,Asia,0,0,1,999,153.83463,241.9032,30.297403,5.1952672,72.719505,79.238457,20.651945,56.46175,492.75055,1554.104,72.978668
2005,Asia,0,0,999,1,111.00507,202.29478,28.458448,4.6248198,48.650639,73.960472,12.995855,54.195671,453.34943,1467.4679,36.687576
2005,Asia,0,0,999,2,137.16959,244.48436,29.325064,4.9399495,71.398529,76.3563,14.336974,54.44994,464.77701,1496.6035,49.999012
2005,Asia,0,0,999,3,159.58948,246.96584,30.043158,5.5770731,75.848549,85.062172,23.566509,56.744133,516.18951,1610.4456,86.796432
2005,Asia,0,0,999,999,138.72858,236.17679,29.36883,5.0767093,67.919426,78.637283,17.01388,55.132412,478.83456,1526.9041,58.952766
2005,Asia,0,1,0,1,88.662804,234.52211,26.748014,5.0878506,42.135899,46.5839,3.4137111,51.537121,337.33432,1631.2845,12.045221
2005,Asia,0,1,0,2,108.87528,279.74722,26.974892,5.3811407,60.846657,44.935509,3.4641151,51.347023,347.1814,1654.7273,15.538427
2005,Asia,0,1,0,3,125.38094,287.78091,26.7687,6.2383995,65.625587,46.319225,5.044589,52.835403,377.20468,1730.5094,24.606768
2005,Asia,0,1,0,999,109.67206,272.57721,26.862555,5.5840902,58.331085,45.716255,3.9429996,51.84874,354.37988,1673.1987,17.601847
2005,Asia,0,1,1,1,107.66566,250.20526,27.582411,5.526278,48.675125,41.764965,4.3505054,52.798576,346.34558,1637.8229,16.121428
2005,Asia,0,1,1,2,129.34108,290.008,29.314783,5.5228591,67.835388,46.12738,4.8543086,53.420509,364.86081,1706.0669,23.339628
2005,Asia,0,1,1,3,143.0723,278.24286,38.050556,5.1547709,68.270065,58.690907,9.2393656,58.412193,430.36517,1970.8158,46.175751
2005,Asia,0,1,1,999,130.6667,278.38535,32.324238,5.3835545,64.558525,50.119373,6.4306641,55.206238,386.43433,1794.4443,30.723442
2005,Asia,0,1,999,1,96.648712,241.11293,27.098669,5.272099,44.883995,44.558758,3.8073967,52.067245,341.12128,1634.0323,13.758238
2005,Asia,0,1,999,2,117.94576,284.29483,28.011934,5.4439507,63.944073,45.463745,4.0802507,52.265995,355.01694,1677.4811,18.995932
2005,Asia,0,1,999,3,134.47318,282.87897,32.566864,5.6814823,66.98468,52.67749,7.2004395,55.701523,404.52582,1854.0117,35.691864
2005,Asia,0,1,999,999,119.38998,275.26569,29.39064,5.4912672,61.213619,47.754356,5.0944815,53.402847,369.21713,1729.3204,23.675526
2005,Asia,0,999,0,1,93.188408,220.85335,27.317549,4.8415446,43.283989,57.645889,6.3210173,52.275307,376.35037,1577.3409,19.205755
2005,Asia,0,999,0,2,114.58331,266.25592,27.814083,5.1812596,63.065815,55.809422,6.4872518,52.160805,384.27057,1601.2474,24.653292
2005,Asia,0,999,0,3,132.46596,274.66718,26.991837,6.0837655,68.043587,56.933044,9.4111271,53.492859,416.06726,1670.1909,38.501289
2005,Asia,0,999,0,999,115.37695,258.89972,27.453823,5.3831782,60.262585,56.554996,7.3457766,52.593536,392.26996,1617.1195,27.700125
2005,Asia,0,999,1,1,113.41087,237.34729,27.919277,5.3394327,50.253052,50.579258,7.9007797,53.54052,384.76471,1575.4407,25.130861
2005,Asia,0,999,1,2,136.56551,277.67261,29.243145,5.4039497,70.620621,55.26796,8.6483889,54.027729,399.43658,1640.0795,34.871265
2005,Asia,0,999,1,3,152.00114,268.7251,36.492199,5.2208271,71.430832,68.541031,15.158165,58.521305,462.30698,1884.147,64.570366
