year,superregion2,female,age,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2000,Asia,0,2,0,1,93.318756,180.55002,21.220161,6.2934089,20.928808,2.3072309,14.028137,49.925919,627.65564,1412.3669,49.873989
2000,Asia,0,2,0,2,113.34071,218.69794,23.02643,6.4914465,29.142639,2.3054883,15.429174,50.159199,645.52795,1475.1489,66.808434
2000,Asia,0,2,0,3,133.36826,235.20059,20.674574,8.2155056,30.728296,2.522465,20.646797,49.983139,685.82336,1569.6824,102.77618
2000,Asia,0,2,0,999,113.23122,212.35483,21.838533,6.9226255,27.219503,2.3674548,16.502531,50.04195,651.78058,1483.7949,72.106071
2000,Asia,0,2,1,1,113.10931,189.47128,22.146383,7.6707368,23.130779,2.1831064,19.832911,51.914246,664.48169,1425.9524,68.13163
2000,Asia,0,2,1,2,136.89725,222.02733,24.40761,8.1885653,31.176546,2.5786541,24.348324,52.730026,698.33655,1566.8492,101.95377
2000,Asia,0,2,1,3,159.26447,222.93886,26.735332,9.0127802,31.491055,3.0989423,39.240238,55.784279,786.62952,1856.2803,174.6814
2000,Asia,0,2,1,999,138.41127,214.11655,24.619274,8.3349018,29.251505,2.6536982,28.214134,53.550728,719.46881,1628.571,117.86242
2000,Asia,0,2,999,1,100.49072,183.78302,21.555819,6.7925434,21.726788,2.262249,16.13175,50.646477,641.0011,1417.2902,56.490437
2000,Asia,0,2,999,2,122.40446,219.97897,23.557861,7.1444397,29.925217,2.410593,18.860956,51.148365,665.84686,1510.4321,80.331146
2000,Asia,0,2,999,3,144.64801,229.85968,23.314493,8.5627794,31.060537,2.7735646,28.745649,52.509975,729.73212,1694.5175,134.09634
2000,Asia,0,2,999,999,123.15409,213.04909,22.934359,7.4791703,28.020267,2.4802566,21.117798,51.424679,678.45496,1540.8478,90.137573
2000,Asia,0,7,0,1,103.67641,229.68681,29.286924,3.8994663,54.509689,51.192238,13.114945,48.305744,386.97833,1204.5962,38.652058
2000,Asia,0,7,0,2,125.84746,275.66003,31.292082,4.0358086,75.216911,50.133247,14.121525,48.356125,396.9791,1264.8312,51.178795
2000,Asia,0,7,0,3,147.81557,297.22012,27.446012,4.9647198,79.4217,53.101982,18.191376,47.991055,418.59915,1328.0596,77.070732
2000,Asia,0,7,0,999,125.85362,268.8244,29.627687,4.2624354,70.566277,51.279865,14.998823,48.237682,400.32462,1265.8597,55.030006
2000,Asia,0,7,1,1,125.73678,241.35516,30.149933,4.8433018,60.122265,48.117634,18.480696,49.973358,407.83163,1224.2018,52.605976
2000,Asia,0,7,1,2,151.95822,281.16705,32.794106,5.0380993,80.709137,55.971386,22.212677,50.675041,427.22327,1334.9718,77.763817
2000,Asia,0,7,1,3,176.6132,282.47366,35.528587,5.4953356,81.839668,67.001022,36.03706,53.591568,480.46164,1562.239,133.3595
2000,Asia,0,7,1,999,153.65123,271.65228,33.047882,5.1423612,75.941193,57.697823,25.904345,51.475285,440.1853,1383.3083,90.073029
2000,Asia,0,7,999,1,111.63789,233.89787,29.598379,4.2400918,56.53524,50.082626,15.051419,48.907578,394.50418,1211.6716,43.687958
2000,Asia,0,7,999,2,135.77963,277.75485,31.863432,4.4170661,77.306084,52.353996,17.199287,49.238209,408.48358,1291.5117,61.29137
2000,Asia,0,7,999,3,160.1389,290.9097,30.904778,5.1917858,80.456421,59.049778,25.828054,50.387676,445.0719,1428.2716,101.1583
2000,Asia,0,7,999,999,136.68375,269.92618,30.960217,4.6052599,72.660378,53.780342,19.247681,49.499069,415.85458,1311.6184,68.682983
2000,Asia,0,12,0,1,91.364937,227.58156,24.341291,2.9062421,59.780685,81.064209,8.3663082,46.179199,319.83218,1188.8188,27.053347
2000,Asia,0,12,0,2,110.78121,270.80499,25.639847,2.9919291,82.076813,78.197449,8.6831465,46.145931,327.12106,1242.8192,35.505123
2000,Asia,0,12,0,3,129.71786,290.64154,22.848957,3.6783986,87.366951,81.924622,10.957218,45.994064,344.37097,1311.8097,52.714882
2000,Asia,0,12,0,999,110.92884,264.65533,24.472044,3.1675758,77.4701,80.069031,9.2559261,46.111019,330.12,1247.968,38.172039
2000,Asia,0,12,1,1,110.62822,238.97395,25.19471,3.5321271,66.299644,76.397522,11.760293,47.606937,335.69897,1201.0679,36.60622
2000,Asia,0,12,1,2,133.71889,276.70944,27.203436,3.7214274,88.829132,87.941032,13.833805,48.248119,350.86346,1311.1722,53.833172
2000,Asia,0,12,1,3,155.09854,279.44769,29.892574,4.0153184,91.080704,106.19283,22.584044,50.878212,393.9563,1522.3416,92.081322
2000,Asia,0,12,1,999,135.11069,268.27747,27.600231,3.7722766,83.999992,91.151642,16.229807,48.963856,361.43695,1354.1244,62.285255
2000,Asia,0,12,999,1,98.308937,231.68828,24.64893,3.1318603,62.130627,79.381973,9.5897665,46.693867,325.55182,1193.2344,30.496952
2000,Asia,0,12,999,2,119.44099,273.03415,26.230158,3.2673404,84.626045,81.875999,10.627703,46.939583,336.08466,1268.6249,42.42461
2000,Asia,0,12,999,3,140.32915,285.96155,25.793791,3.8192599,88.919617,92.070801,15.818223,48.036057,365.10187,1399.83,69.173416
2000,Asia,0,12,999,999,120.24973,266.05151,25.677805,3.4006577,79.987045,84.340828,11.944008,47.210644,342.19113,1288.886,47.46648
2000,Asia,0,17,0,1,84.16906,216.06036,23.63641,3.1258762,56.950806,91.589302,7.1731315,47.16386,310.10175,1230.6428,22.637758
2000,Asia,0,17,0,2,102.0108,259.65085,25.181139,3.1481926,78.833168,89.265747,7.593523,46.995937,317.48532,1285.9205,29.932775
2000,Asia,0,17,0,3,119.60443,279.75354,22.853512,3.9138286,83.804909,96.350342,9.6216583,46.725937,335.0881,1374.0579,45.628189
2000,Asia,0,17,0,999,102.01258,253.09981,24.078049,3.361239,74.077782,91.951622,8.0558453,46.966011,320.44321,1295.5604,32.369213
2000,Asia,0,17,1,1,101.83543,226.868,24.481035,3.6471245,63.137405,85.824997,10.041612,48.736267,326.86798,1245.3584,30.779278
2000,Asia,0,17,1,2,123.01697,264.16412,27.033157,3.7901471,84.718544,101.03441,12.038231,49.738621,343.5448,1380.2919,46.346256
2000,Asia,0,17,1,3,142.6633,265.23932,30.523645,3.9845402,86.218948,123.00718,19.471647,52.605999,388.2778,1638.2252,80.959572
2000,Asia,0,17,1,999,124.45902,255.31894,27.588451,3.820853,79.898636,104.74147,14.069926,50.464996,354.62003,1434.5769,54.258385
2000,Asia,0,17,999,1,90.565376,219.97339,23.942217,3.3146005,59.190739,89.502258,8.2116995,47.73317,316.17215,1235.9708,25.585495
2000,Asia,0,17,999,2,110.06923,261.38226,25.891613,3.3944607,81.090927,93.780464,9.2986116,48.048092,327.4823,1322.1234,36.229351
2000,Asia,0,17,999,3,129.63174,273.44196,26.188923,3.9445779,84.854668,107.94226,13.904995,49.282921,358.21802,1488.9329,60.992287
