year,superregion2,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
1990,Asia,0,0,0,1,89.89064,233.39893,29.07436,4.7213812,65.60302,45.004917,10.138472,43.424263,381.1293,934.80701,35.06982
1990,Asia,0,0,0,2,107.60912,271.05798,30.111351,4.4904757,92.879456,51.874046,11.06085,43.193733,395.22726,971.95856,48.726933
1990,Asia,0,0,0,3,124.19777,282.01642,24.295307,4.6075954,94.289009,55.25061,14.433835,44.22097,431.10028,1046.5313,74.125809
1990,Asia,0,0,0,999,103.77175,257.93896,28.500565,4.6085591,82.044113,49.762486,11.373627,43.497551,396.80508,972.03943,48.34523
1990,Asia,0,0,1,1,109.77538,236.40764,32.896175,6.1456156,71.070587,52.503315,15.124276,45.881271,407.16644,1012.7567,51.264053
1990,Asia,0,0,1,2,132.12335,262.12064,36.996166,5.5797739,104.59615,77.829613,19.497683,48.532932,446.87991,1227.8292,86.195045
1990,Asia,0,0,1,3,152.36101,253.20337,37.218758,4.992888,122.24907,91.808762,31.015476,53.656319,516.6886,1527.813,145.46884
1990,Asia,0,0,1,999,129.49446,250.71381,35.605373,5.6269507,97.344849,72.519264,20.950371,48.929565,451.01807,1229.9177,89.280884
1990,Asia,0,0,999,1,95.542686,234.25412,30.160673,5.1262059,67.15712,47.136265,11.555638,44.122643,388.53009,956.96344,39.672874
1990,Asia,0,0,999,2,115.2914,268.2572,32.268921,4.8318405,96.551239,60.008022,13.704791,44.866936,411.41422,1052.1434,60.468719
1990,Asia,0,0,999,3,134.58205,271.39258,29.060406,4.7496595,104.59836,68.730232,20.547771,47.699947,462.65814,1223.988,100.43121
1990,Asia,0,0,999,999,111.8557,255.66829,30.733414,4.9286122,86.852722,56.914326,14.383339,45.204685,413.84274,1053.0836,61.210201
1990,Asia,0,1,0,1,76.213181,272.64087,25.908895,4.6358705,60.967075,31.643818,3.0670989,41.146751,278.70428,1003.5302,13.342224
1990,Asia,0,1,0,2,91.015327,311.22458,27.357264,4.3177528,84.913445,36.586807,3.2793107,41.411411,292.23764,1070.908,18.893757
1990,Asia,0,1,0,3,104.91992,319.88202,25.19706,4.3565364,88.370872,39.405716,4.5038471,43.086746,323.66092,1189.5333,29.44602
1990,Asia,0,1,0,999,88.181404,297.92554,26.325439,4.4510112,76.249039,35.249481,3.4583905,41.6665,293.65646,1069.8667,18.974741
1990,Asia,0,1,1,1,93.20945,274.4071,30.591635,5.8394861,66.69841,38.056,4.76723,44.082851,301.59839,1132.3203,20.183264
1990,Asia,0,1,1,2,111.37112,295.17651,38.707066,4.8373117,94.508064,57.312237,6.464046,48.533539,347.20444,1488.1593,37.175262
1990,Asia,0,1,1,3,127.15609,281.56244,44.776054,4.0245452,108.80163,65.697266,10.718873,54.526012,412.48801,1899.7745,63.736343
1990,Asia,0,1,1,999,110.10288,284.60574,37.856823,4.9240742,89.721344,53.562202,7.1462812,48.834572,351.40631,1492.7881,39.385288
1990,Asia,0,1,999,1,81.112869,273.15005,27.258839,4.9828496,62.619305,33.492325,3.5572135,41.993172,285.3042,1040.6578,15.314363
1990,Asia,0,1,999,2,97.759766,305.90741,31.117765,4.4898973,88.092407,43.453712,4.3345017,43.771168,310.44965,1209.1549,24.950926
1990,Asia,0,1,999,3,113.82362,304.53827,33.036781,4.2236018,96.551651,49.933247,6.9924364,47.667198,359.22861,1473.9246,43.17638
1990,Asia,0,1,999,999,95.458328,293.50397,30.153332,4.6080465,80.72123,41.328465,4.6826015,44.045971,312.82678,1210.2572,25.750109
1990,Asia,0,999,0,1,81.998764,256.04147,27.24789,4.6720419,62.928082,37.295582,6.0582995,42.110142,322.03021,974.46014,22.533028
1990,Asia,0,999,0,2,97.831757,294.72482,28.488592,4.3887043,88.185738,42.866535,6.4758301,42.143555,334.54395,1030.2612,31.148699
1990,Asia,0,999,0,3,112.67439,304.65067,24.834332,4.4575243,90.751434,45.779289,8.4981632,43.542984,366.87817,1132.0111,47.418369
1990,Asia,0,999,0,999,94.63369,281.37653,27.225647,4.5162144,78.647415,41.255894,6.7342224,42.424309,336.34598,1029.3795,31.130135
1990,Asia,0,999,1,1,100.13703,258.51636,31.555353,5.967504,68.526779,44.097614,9.0983658,44.834919,345.74509,1082.3209,33.18071
1990,Asia,0,999,1,2,119.48626,282.25009,38.038021,5.1276512,98.453003,65.335533,11.560832,48.533302,386.1824,1386.3577,56.344387
1990,Asia,0,999,1,3,136.49437,271.05554,41.976116,4.3833103,113.78382,75.371429,18.238653,54.203793,451.09372,1761.9647,94.017784
1990,Asia,0,999,1,999,117.75084,271.23889,36.968861,5.2012858,92.72802,61.038784,12.590556,48.872036,390.69275,1389.1132,59.0639
1990,Asia,0,999,999,1,87.196777,256.75073,28.482311,5.0432916,64.532539,39.244888,6.929513,42.891003,328.82635,1005.3705,25.584408
1990,Asia,0,999,999,2,104.84933,290.68213,31.583279,4.6281748,91.513054,50.148067,8.1237278,44.214283,351.27844,1145.6615,39.313869
1990,Asia,0,999,999,3,121.91786,291.61389,31.48629,4.4287252,99.68927,57.262672,12.278011,47.679966,399.55844,1376.4679,65.501518
1990,Asia,0,999,999,999,102.14095,278.08435,30.389738,4.7386904,83.22007,47.680355,8.6360579,44.518196,353.995,1146.2024,40.20158
1990,Asia,1,0,0,1,103.69278,237.03587,32.596043,4.6855793,64.757896,38.142044,10.665149,43.888649,406.20261,967.31726,35.827011
1990,Asia,1,0,0,2,124.81281,275.44012,33.510921,4.3749728,91.35144,43.909294,11.601162,43.389099,422.40765,1008.2953,50.006393
1990,Asia,1,0,0,3,144.27155,286.85168,26.181862,4.5199299,89.954552,46.340801,15.098344,44.310776,463.99588,1081.036,76.755371
1990,Asia,1,0,0,999,120.13199,262.04953,31.644876,4.5315623,80.186272,42.044495,11.929985,43.781086,424.24194,1006.3343,49.649181
1990,Asia,1,0,1,1,126.74409,240.66431,36.724682,6.0455213,69.296501,43.941936,15.877279,46.302574,436.96451,1047.5006,52.727154
1990,Asia,1,0,1,2,154.95509,268.14078,40.937992,5.4742994,100.86758,63.746193,20.351128,48.773426,486.957,1271.3586,90.842857
1990,Asia,1,0,1,3,181.31781,260.3616,40.681515,4.8500338,115.34538,73.880646,32.129593,53.694168,571.09888,1583.6844,156.41748
1990,Asia,1,0,1,999,151.79449,256.37878,39.377426,5.5148139,93.430687,59.354321,21.821968,49.174515,491.07007,1273.0483,94.348
1990,Asia,1,0,999,1,110.2427,238.06686,33.769173,5.072,66.047516,39.790054,12.14615,44.574551,414.94345,990.10089,40.629105
1990,Asia,1,0,999,2,134.25703,273.15311,35.837982,4.7194157,94.333054,50.124619,14.342713,45.076126,442.63235,1090.7188,62.801334
1990,Asia,1,0,999,3,157.93127,277.08423,31.528189,4.6416459,99.316681,56.495319,21.378124,47.77063,503.48697,1266.373,106.12846
1990,Asia,1,0,999,999,130.07828,260.26816,34.07394,4.840436,84.346802,47.482113,15.037401,45.475349,445.23499,1090.1184,63.690632
1990,Asia,1,1,0,1,88.28064,273.96579,30.163958,4.7255387,59.522202,26.89296,3.3112931,41.846329,299.37,1048.7205,13.847482
1990,Asia,1,1,0,2,105.92091,313.56418,31.71722,4.3519363,82.780251,30.92037,3.5490077,41.852139,315.33307,1121.2911,19.857306
1990,Asia,1,1,0,3,122.41014,323.18588,27.998663,4.3503909,83.587524,32.817928,4.8085365,43.278919,352.87234,1245.2333,31.519716
1990,Asia,1,1,0,999,102.47598,299.98401,30.310236,4.4991097,73.769981,29.735336,3.7240055,42.1544,317.04352,1119.0952,19.973927
1990,Asia,1,1,1,1,108.3679,276.60147,35.781666,5.8890252,64.181664,31.669399,5.0754924,44.744946,327.62634,1184.0237,21.33404
1990,Asia,1,1,1,2,131.62115,299.12012,44.836235,4.7740116,89.642944,46.059315,6.8292646,48.972221,387.68057,1573.1665,40.931145
1990,Asia,1,1,1,3,152.65794,287.05481,51.198753,3.9005241,100.91903,51.237663,11.135166,54.793335,468.12732,2010.2111,71.36879
1990,Asia,1,1,1,999,130.36168,288.4502,43.812962,4.873806,84.838264,42.99585,7.5265036,49.324989,392.03659,1576.8511,43.572147
1990,Asia,1,1,999,1,94.084435,274.72733,31.787079,5.0617042,60.868458,28.273014,3.821022,42.683826,307.53409,1087.8136,16.010569
1990,Asia,1,1,999,2,114.53184,308.72464,36.112782,4.4933538,85.079613,35.992714,4.6480665,44.23774,339.57327,1272.6931,26.918152
1990,Asia,1,1,999,3,134.75067,308.4451,37.463863,4.1668539,90.658455,40.332836,7.3896818,47.976585,399.8942,1557.3298,47.77739
1990,Asia,1,1,999,999,111.83185,296.11429,34.840504,4.6248231,77.483475,34.184341,4.999773,44.560184,342.20428,1272.6758,27.891314
1990,Asia,1,999,0,1,94.677193,258.63864,31.173353,4.7089543,61.69519,31.561705,6.3633885,42.693962,343.70911,1014.9354,22.969721
1990,Asia,1,999,0,2,113.54687,298.17493,32.441273,4.3612356,86.24012,36.163513,6.7993612,42.472553,358.55508,1075.6791,32.027367
1990,Asia,1,999,0,3,131.04482,308.83487,27.281078,4.4173541,86.102333,38.159096,8.8727312,43.686478,396.76312,1180.3799,49.386574
1990,Asia,1,999,0,999,109.65135,284.5675,30.852633,4.5122986,76.377548,34.737759,7.0589023,42.815479,360.60876,1073.2693,32.033901
1990,Asia,1,999,1,1,115.89044,261.89011,36.167702,5.9530888,66.27549,36.693325,9.4973469,45.38258,372.38535,1128.1361,34.185226
1990,Asia,1,999,1,2,140.48863,287.3472,43.354809,5.0401382,93.908577,52.780762,11.967905,48.896675,425.40805,1458.472,59.898819
1990,Asia,1,999,1,3,162.86691,277.54639,47.452396,4.2387505,106.05786,59.303356,18.613621,54.401798,504.80698,1858.2775,101.66411
1990,Asia,1,999,1,999,138.57288,276.16324,42.113651,5.1193848,88.130135,49.262993,13.003281,49.267345,429.97763,1460.4603,63.025032
1990,Asia,1,999,999,1,100.76437,259.57169,32.606491,5.0659609,63.009518,33.034233,7.2626829,43.465469,351.93784,1047.4186,26.188028
1990,Asia,1,999,999,2,122.34196,294.64023,36.003975,4.5828619,88.743477,41.588184,8.4866228,44.569695,380.37912,1200.6411,41.125954
1990,Asia,1,999,999,3,143.55321,296.53622,35.209869,4.3471498,93.946304,46.470325,12.701608,47.898376,439.23221,1446.8428,69.93544
