year,superregion2,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2015,Asia,0,0,0,1,98.274597,174.07745,31.007158,3.7154171,31.390184,78.304047,10.162259,62.566109,504.97128,1750.934,30.531279
2015,Asia,0,0,0,2,125.01089,209.76047,26.952175,4.6085591,46.393845,87.47509,12.729361,63.866268,522.25232,1913.7169,41.373432
2015,Asia,0,0,0,3,141.29741,195.82027,29.951439,6.2645798,47.442307,118.54866,25.523394,66.922798,619.42682,1993.9238,83.652634
2015,Asia,0,0,0,999,113.64777,190.43207,29.313755,4.3587146,39.07309,86.551239,12.948708,63.577927,525.01807,1842.3215,40.928066
2015,Asia,0,0,1,1,123.74634,195.8835,24.296867,4.0437846,38.126015,61.214611,11.812482,64.027367,497.02106,1788.9063,35.985474
2015,Asia,0,0,1,2,152.01051,227.50671,25.020096,4.186224,54.618649,71.462654,14.56667,64.939156,515.80487,1929.2471,53.673584
2015,Asia,0,0,1,3,165.74013,213.61244,32.878174,4.5278153,57.796261,101.12215,31.115543,69.035583,619.53534,2022.0135,115.62798
2015,Asia,0,0,1,999,141.10625,211.19113,25.797054,4.1695895,47.575844,70.980927,15.643848,65.101334,521.86639,1878.5635,54.356033
2015,Asia,0,0,999,1,111.38028,185.29707,27.55459,3.8843684,34.855896,69.511223,11.01133,63.317955,500.88077,1770.4716,33.337563
2015,Asia,0,0,999,2,139.80145,219.48196,25.893772,4.3772016,50.899441,78.703392,13.73585,64.45401,518.7204,1922.2246,48.11153
2015,Asia,0,0,999,3,155.53749,206.18581,31.656525,5.252759,53.474415,108.39616,28.781322,68.153687,619.49005,2010.2887,102.28113
2015,Asia,0,0,999,999,128.38057,201.57031,27.426876,4.2572398,43.635223,78.197014,14.394779,64.395302,523.32703,1861.7671,48.132816
2015,Asia,0,1,0,1,87.340813,213.78979,25.20348,3.9433622,30.027636,44.1693,2.7680204,60.389942,366.29233,2034.9819,10.21035
2015,Asia,0,1,0,2,108.80289,250.46445,23.620958,4.589016,42.917294,47.21909,3.3145394,61.444229,379.41995,2195.0007,13.319616
2015,Asia,0,1,0,3,122.06067,239.30746,28.237793,6.3151488,44.688377,64.175766,6.9001489,64.613716,445.60193,2281.4255,27.080858
2015,Asia,0,1,0,999,100.11588,231.71431,24.907717,4.4809976,36.984901,47.725723,3.4685111,61.308376,380.81445,2128.7964,13.428823
2015,Asia,0,1,1,1,108.1842,234.79506,22.409241,4.1045408,35.635784,34.796673,3.1822028,61.873829,363.59122,2075.7976,12.394929
2015,Asia,0,1,1,2,129.75401,263.37076,25.575048,4.1338553,49.349072,40.43885,4.1416082,63.162655,390.2157,2226.7053,20.233236
2015,Asia,0,1,1,3,138.15965,247.84711,38.096558,4.2542973,52.236824,55.811111,9.3698158,67.489182,479.03409,2306.668,45.871075
2015,Asia,0,1,1,999,121.88367,248.85182,26.15262,4.1398935,43.968361,40.402313,4.536694,63.279423,392.54218,2174.8896,20.839802
2015,Asia,0,1,999,1,98.462166,224.99751,23.712563,4.0293617,33.019962,39.168369,2.9890144,61.181694,364.8511,2056.7598,11.37597
2015,Asia,0,1,999,2,120.74123,257.8187,24.734434,4.3296571,46.582237,43.355583,3.7858186,62.423416,385.57156,2213.0667,17.259127
2015,Asia,0,1,999,3,132.20636,244.68921,34.450859,5.0163841,49.445465,58.904293,8.4565516,66.425858,466.67114,2297.3335,38.922596
2015,Asia,0,1,999,999,112.34657,241.34338,25.607195,4.2893414,40.908707,43.610912,4.0686922,62.415852,387.40393,2154.6948,17.592838
2015,Asia,0,999,0,1,90.558411,202.1032,26.911388,3.8762822,30.428604,54.2145,4.9440026,61.030338,407.10287,1951.3918,16.190409
2015,Asia,0,999,0,2,113.26162,239.267,24.537357,4.5943923,43.873669,58.293289,5.9045043,62.110516,418.71234,2117.6211,21.037064
2015,Asia,0,999,0,3,127.59865,226.78812,28.731127,6.300591,45.481194,79.828941,12.261515,65.278473,495.64365,2198.658,43.367062
2015,Asia,0,999,0,999,103.98357,219.91499,26.167055,4.4460468,37.581749,58.822857,6.1781473,61.957062,422.03082,2046.9159,21.288675
