year,superregion2,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
1995,Asia,0,0,0,1,92.750618,227.6011,24.09907,3.4270961,49.159729,55.43161,10.687078,45.184689,400.55551,1138.7377,34.383495
1995,Asia,0,0,0,2,112.9651,265.57898,27.569832,3.6224852,68.273705,64.654022,12.668544,45.699104,413.56644,1189.4467,47.937576
1995,Asia,0,0,0,3,131.25478,285.43466,23.536175,3.6466711,73.912132,63.74234,16.725866,45.64518,433.13373,1239.2898,69.510231
1995,Asia,0,0,0,999,110.76364,257.74408,25.362543,3.5622947,63.220009,61.289452,13.030193,45.510651,414.13724,1184.9347,48.835247
1995,Asia,0,0,1,1,111.48405,234.5318,23.69272,4.4496694,53.602955,58.50473,15.171822,46.844784,421.62759,1184.8809,48.121109
1995,Asia,0,0,1,2,134.75671,264.46976,28.929441,5.0395803,73.888443,82.724289,22.028223,48.821476,449.88608,1331.4984,77.437454
1995,Asia,0,0,1,3,153.64677,263.9028,30.940247,4.7264242,80.233704,95.86245,38.11348,52.008663,502.44513,1557.228,128.12254
1995,Asia,0,0,1,999,133.63837,255.37518,27.988234,4.7674041,69.79792,79.552956,24.937576,49.213768,457.64798,1357.3098,84.307228
1995,Asia,0,0,999,1,98.775131,229.82997,23.968391,3.7559464,50.588631,56.419899,12.129332,45.718563,407.33209,1153.5769,38.801392
1995,Asia,0,0,999,2,120.47077,265.19693,28.038122,4.1105742,70.207581,70.877953,15.89229,46.77454,426.07599,1238.3735,58.098194
1995,Asia,0,0,999,3,140.09543,276.93359,26.459402,4.0729718,76.407974,76.42379,25.169985,48.157566,460.49881,1364.816,92.651154
1995,Asia,0,0,999,999,118.78785,256.91312,26.283607,3.985034,65.527473,67.696091,17.207172,46.809666,429.40033,1245.402,61.278427
1995,Asia,0,1,0,1,79.039078,267.43124,21.634649,3.3828442,45.774994,35.806393,3.0491614,42.974483,293.66446,1247.6943,12.832299
1995,Asia,0,1,0,2,95.64695,306.2377,24.343164,3.5397403,62.70657,41.389847,3.5888724,43.543388,305.41846,1317.2534,18.098034
1995,Asia,0,1,0,3,110.2815,323.17203,22.9895,3.4168937,67.815498,41.012791,4.9451137,44.096233,326.00476,1409.4928,26.952784
1995,Asia,0,1,0,999,94.237389,298.28525,23.103752,3.4559522,58.621563,39.486263,3.780757,43.50901,307.18164,1319.7019,18.788668
