year,superregion2,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2010,Asia,1,0,1,3,181.1353,232.98018,37.856354,5.8128319,55.934975,71.249695,28.948732,64.150215,637.64417,1972.8447,120.73553
2010,Asia,1,0,1,999,158.07857,237.17523,31.958632,5.1907177,53.006203,58.687183,18.190739,60.047272,563.26117,1860.0094,77.651741
2010,Asia,1,0,999,1,109.37885,193.48277,28.935102,3.8226991,34.761196,59.464577,10.667255,57.351288,517.52606,1711.3051,36.857365
2010,Asia,1,0,999,2,137.68788,239.46301,28.141151,4.9911675,51.85046,57.236347,11.342499,57.269165,524.76428,1809.3374,52.013515
2010,Asia,1,0,999,3,164.6779,228.64966,33.848438,5.6065521,53.09914,70.694756,24.862661,62.518723,622.55035,1923.4171,99.418655
2010,Asia,1,0,999,999,141.3842,228.04112,30.098608,4.9847431,49.284924,61.913986,15.536296,58.957226,554.68805,1828.7106,64.500198
2010,Asia,1,1,0,1,86.094894,225.90842,26.621565,3.9484203,30.106379,36.314217,2.6086485,54.107105,380.02866,1949.3832,11.527734
2010,Asia,1,1,0,2,107.2235,275.01273,25.467485,5.4344459,44.13464,32.767288,2.4641693,53.806629,384.38602,2052.9246,15.461298
2010,Asia,1,1,0,3,125.49904,269.62985,28.694366,5.7534232,45.734913,37.489838,5.1349764,57.51989,442.43027,2142.3245,26.119789
2010,Asia,1,1,0,999,108.94221,264.99728,26.610498,5.2724199,42.192055,34.759418,3.2708719,54.94532,400.62939,2061.3003,17.90547
2010,Asia,1,1,1,1,107.89088,250.51392,27.980408,4.632412,35.718399,28.642336,3.1247768,55.237812,380.97296,1977.2783,15.02647
2010,Asia,1,1,1,2,131.63274,292.24359,28.603008,5.442337,49.834949,28.604698,3.2574058,55.083599,395.96097,2113.2014,22.149244
2010,Asia,1,1,1,3,155.22774,270.60776,44.588989,5.7735882,49.40794,39.98671,8.4619312,62.634979,502.14944,2318.8313,51.447807
2010,Asia,1,1,1,999,136.95648,278.44412,34.381493,5.4501433,47.695774,32.786514,5.1485357,57.876171,432.82104,2169.5669,31.899801
2010,Asia,1,1,999,1,96.247231,237.36938,27.254496,4.2670159,32.720394,32.740734,2.8490555,54.633774,380.46848,1962.3762,13.157407
2010,Asia,1,1,999,2,119.31644,283.54932,27.020899,5.4383554,46.958714,30.705038,2.8571579,54.43927,390.12054,2082.7874,18.77467
