year,superregion2,female,age,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2005,Asia,0,2,0,1,102.04679,165.40953,23.903025,6.7665424,19.034199,2.9332507,15.1693,55.730968,695.5592,1665.1565,47.658142
2005,Asia,0,2,0,2,127.31416,204.13362,25.431185,7.5839043,28.631313,2.9574702,16.833704,56.048115,718.75623,1683.1208,64.726768
2005,Asia,0,2,0,3,149.13156,210.74619,23.873116,9.361886,30.888597,3.1310103,25.153931,57.265949,780.03516,1745.4857,102.08313
2005,Asia,0,2,0,999,127.85458,196.99402,24.609118,7.9198775,27.045597,3.0033245,18.913845,56.3353,731.505,1697.4224,71.810333
2005,Asia,0,2,1,1,125.61932,180.22733,24.466846,7.7281308,22.472176,2.570857,19.48057,57.559536,716.55457,1638.1041,62.874641
2005,Asia,0,2,1,2,153.59758,215.07222,25.22732,8.120347,32.422421,2.8387146,22.45368,57.982723,741.13934,1692.4454,88.669212
2005,Asia,0,2,1,3,175.24045,211.14954,28.297173,8.5189781,33.419697,3.4942405,38.322578,61.250069,839.21234,1897.0524,159.0282
2005,Asia,0,2,1,999,155.48296,206.62421,26.146238,8.1800728,30.750374,3.0135183,27.398369,59.039188,770.43726,1752.9493,108.0314
2005,Asia,0,2,999,1,111.6205,171.42761,24.132015,7.1570807,20.430494,2.7860687,16.920275,56.473621,704.08624,1654.1694,53.83815
2005,Asia,0,2,999,2,138.63692,208.84592,25.343363,7.815001,30.264503,2.9063113,19.254759,56.881535,728.3988,1687.1379,75.041039
2005,Asia,0,2,999,3,161.72581,210.94075,26.007164,8.9552898,32.109535,3.3062232,31.506144,59.187786,808.58069,1818.5975,129.55194
2005,Asia,0,2,999,999,140.06265,201.2493,25.288321,8.0348501,28.682615,3.007829,22.662874,57.530064,748.70795,1721.9579,87.815224
2005,Asia,0,7,0,1,113.25201,203.92775,33.52346,4.550302,48.670292,69.899918,15.60827,54.739597,438.62878,1424.2168,38.856384
2005,Asia,0,7,0,2,141.1279,251.05405,35.483433,5.0469241,72.805847,69.800529,17.173613,54.890732,453.30038,1444.0129,52.206287
2005,Asia,0,7,0,3,165.05338,259.65164,32.996563,6.0581746,78.469063,72.966721,25.414488,56.100475,490.91052,1499.506,82.097198
2005,Asia,0,7,0,999,141.71548,242.57353,34.284653,5.2314024,68.837372,70.765594,19.25823,55.215172,461.05118,1455.8828,57.970547
2005,Asia,0,7,1,1,139.13063,221.51923,34.195427,5.1767678,57.242332,61.228676,19.973944,56.190594,451.61096,1400.8387,51.378475
2005,Asia,0,7,1,2,169.94373,264.1832,35.09618,5.4061432,82.334274,67.647842,22.924736,56.77573,467.85602,1451.4595,72.206322
2005,Asia,0,7,1,3,193.5556,257.76114,39.520473,5.6187029,84.756912,83.199478,39.395519,60.408459,530.83191,1637.0573,130.75195
2005,Asia,0,7,1,999,172.10948,253.32771,36.482056,5.4352965,78.145683,71.865013,28.165039,57.944721,486.89413,1507.0151,88.753555
2005,Asia,0,7,999,1,123.80601,211.10202,33.797504,4.8057914,52.166199,66.363548,17.388708,55.331352,443.92325,1414.6825,43.96323
2005,Asia,0,7,999,2,153.58514,256.72986,35.316021,5.2022166,76.925041,68.869911,19.659857,55.705627,459.59286,1447.2321,60.852417
2005,Asia,0,7,999,3,178.97643,258.72815,36.183426,5.8434973,81.540619,77.965317,32.244076,58.20488,510.41168,1566.6984,105.86454
2005,Asia,0,7,999,999,155.24274,247.35982,35.262634,5.3221478,72.980156,71.254898,23.222324,56.429993,472.55292,1478.6399,71.670944
2005,Asia,0,12,0,1,99.987679,200.53734,30.045197,3.4466038,54.858513,117.10184,10.494602,52.978188,366.86993,1410.793,27.369909
2005,Asia,0,12,0,2,124.24889,245.01051,31.117102,3.7275941,80.842873,115.12918,11.232973,53.025162,377.36911,1423.0345,36.173264
2005,Asia,0,12,0,3,144.8391,253.93994,28.672104,4.4449182,87.581726,116.52418,16.138973,54.088993,406.50702,1477.0286,56.110718
2005,Asia,0,12,0,999,124.84268,237.50996,30.143362,3.8772075,76.914093,115.99576,12.526637,53.331535,383.65546,1436.3319,40.104641
2005,Asia,0,12,1,1,122.61877,217.80403,29.928986,3.946907,64.25,100.85522,13.137585,54.211159,375.26428,1388.8705,35.997807
2005,Asia,0,12,1,2,149.58527,257.80597,30.308332,4.0841746,91.691261,109.82491,14.7101,54.351505,387.65814,1427.599,49.907497
2005,Asia,0,12,1,3,170.14441,251.82547,33.975361,4.2098613,94.632935,134.57642,25.667145,58.01379,439.94287,1603.5475,90.979469
2005,Asia,0,12,1,999,151.43698,247.76102,31.518887,4.1009765,87.270676,116.72245,18.240002,55.607883,403.53049,1481.6046,61.546677
2005,Asia,0,12,999,1,109.21976,207.58107,29.997789,3.6506963,58.689655,110.47424,11.572775,53.481163,370.29431,1401.85,30.889553
2005,Asia,0,12,999,2,135.14282,250.51221,30.769354,3.8809137,85.507378,112.8485,12.728041,53.595451,381.79312,1424.9972,42.078598
2005,Asia,0,12,999,3,157.04797,252.91977,31.230728,4.331512,90.983673,125.23372,20.735964,55.982563,422.63858,1538.0693,72.933601
2005,Asia,0,12,999,999,136.59988,242.0419,30.751474,3.9761345,81.492683,116.31703,15.052485,54.337898,392.44211,1456.3467,49.584049
2005,Asia,0,17,0,1,93.38102,207.95032,26.314165,3.1981125,55.307293,109.73824,6.9899364,51.719582,334.70837,1429.3259,20.03894
2005,Asia,0,17,0,2,115.57182,250.83018,26.665037,3.4362779,80.605972,105.87884,7.1894474,52.00803,343.07687,1452.7701,26.128954
2005,Asia,0,17,0,3,134.23007,260.14365,24.910288,4.0275602,87.564751,106.73589,10.278927,52.800472,368.9245,1491.0804,40.052597
2005,Asia,0,17,0,999,116.2869,244.16223,26.059298,3.5616651,77.112633,106.98933,8.0754108,52.182865,349.00934,1459.1243,28.975212
2005,Asia,0,17,1,1,114.18793,224.91548,26.139112,3.5784926,64.631905,94.502823,8.6551847,52.726006,341.05405,1408.8096,26.147442
2005,Asia,0,17,1,2,139.02567,263.56912,26.397562,3.7049913,91.453781,102.13619,9.4694462,53.089355,352.25339,1458.8556,36.1171
2005,Asia,0,17,1,3,157.70189,259.18082,29.99365,3.8391168,94.684685,127.20292,17.001526,56.304165,400.3988,1618.2277,65.995308
2005,Asia,0,17,1,999,140.65622,254.49812,27.594967,3.7268317,87.337204,109.34394,11.924137,54.133968,366.77328,1504.3862,44.538242
2005,Asia,0,17,999,1,101.92326,214.91533,26.242296,3.3542767,59.135494,103.48336,7.6736007,52.132767,337.31357,1420.903,22.546776
2005,Asia,0,17,999,2,125.65607,256.30743,26.550034,3.5518143,85.270111,104.26965,8.1697578,52.472961,347.0224,1455.3867,30.423468
2005,Asia,0,17,999,3,145.40109,259.68539,27.32963,3.9378734,90.953362,116.47683,13.478437,54.467995,383.90417,1551.594,52.399601
2005,Asia,0,17,999,999,127.02554,248.71686,26.73601,3.6344478,81.618217,108.02692,9.7714005,53.042645,356.83725,1479.0695,35.83326
2005,Asia,0,22,0,1,89.398117,205.22679,26.418673,3.6951923,50.179226,101.2398,6.1009612,52.604328,334.89029,1509.4191,17.353941
2005,Asia,0,22,0,2,110.89431,250.02341,27.282888,3.9531646,74.26506,99.012192,6.4363146,52.344662,344.67404,1521.4777,22.794682
2005,Asia,0,22,0,3,128.80411,259.08752,25.658213,4.7934594,80.72628,101.06187,9.2390833,54.140644,371.57074,1588.6318,35.642254
2005,Asia,0,22,0,999,111.41685,242.61903,26.59918,4.1473918,70.761147,100.1319,7.202879,52.943165,350.54587,1538.9347,25.425928
2005,Asia,0,22,1,1,109.43467,222.42853,26.465134,4.1693926,58.933681,87.755608,7.6663365,53.97723,342.83075,1493.9092,22.861563
2005,Asia,0,22,1,2,133.13895,262.61639,27.170805,4.2188787,84.203308,96.658485,8.5801058,54.389816,355.85959,1542.7776,32.113354
2005,Asia,0,22,1,3,150.19481,255.51212,31.591223,4.2092714,86.598618,121.1612,15.286138,58.384922,407.60773,1747.2562,60.207218
2005,Asia,0,22,1,999,134.66962,252.26987,28.622131,4.2058296,80.163086,103.73528,10.812259,55.745174,371.92502,1606.7659,40.412727
2005,Asia,0,22,999,1,97.612038,212.27859,26.437721,3.8895893,53.768089,95.712006,6.742682,53.167145,338.14548,1503.0609,19.611773
2005,Asia,0,22,999,2,120.5323,255.47961,27.234327,4.0682912,78.57103,97.992393,7.3651609,53.23077,349.52045,1530.7063,26.832207
2005,Asia,0,22,999,3,139.3269,257.32867,28.576857,4.5060778,83.615074,110.94939,12.213829,56.228542,389.29852,1666.6644,47.72657
2005,Asia,0,22,999,999,121.82262,246.93787,27.504465,4.173543,74.968582,101.74444,8.8181,54.197083,360.11319,1569.2897,32.132622
2005,Asia,0,27,0,1,88.768143,214.96306,26.458719,4.1729455,47.185635,76.026619,4.9530606,53.260124,337.29294,1578.801,14.834653
2005,Asia,0,27,0,2,109.5777,259.70551,26.93594,4.4957533,69.5317,76.52961,5.2989478,52.876671,346.08887,1584.6459,19.405796
2005,Asia,0,27,0,3,126.92724,268.40228,25.556419,5.3426137,75.416214,79.556908,7.6163979,54.083298,373.15518,1652.5419,30.420521
2005,Asia,0,27,0,999,110.20882,252.38478,26.411243,4.6807961,66.342911,77.335983,5.9249558,53.328049,352.34158,1603.9412,21.729645
2005,Asia,0,27,1,1,108.0947,230.60391,26.58074,4.6230359,55.045341,68.671379,6.373457,54.552753,345.38095,1561.0594,19.677794
2005,Asia,0,27,1,2,131.00215,271.25702,27.344522,4.6876669,78.386528,77.417152,7.1988454,54.821762,358.89359,1608.3669,27.867018
2005,Asia,0,27,1,3,147.12556,262.77438,32.508823,4.587399,80.441139,98.944992,12.940859,59.091373,412.70245,1835.406,52.954914
