year,superregion2,female,age,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2015,Asia,0,2,0,1,99.003105,154.25113,26.83894,5.2457337,14.285525,2.8164358,12.057611,64.056084,748.86115,1956.0365,41.338814
2015,Asia,0,2,0,2,125.79853,185.34285,23.104269,6.6201005,20.990749,3.2120275,15.146481,65.267441,772.87158,2122.2483,56.007515
2015,Asia,0,2,0,3,142.44722,173.07242,25.495411,8.846776,21.434824,4.3363538,30.379982,68.411865,917.84143,2212.6553,113.37894
2015,Asia,0,2,0,999,114.49641,168.54892,25.228371,6.2003093,17.728958,3.1475077,15.394563,65.035118,777.89355,2050.6428,55.441723
2015,Asia,0,2,1,1,124.68562,173.73422,20.666237,5.7893167,17.279305,2.1632762,13.892483,65.477982,736.28424,1990.621,48.620472
2015,Asia,0,2,1,2,153.28841,201.74855,21.045023,6.0621052,24.660633,2.5456762,17.019793,66.542816,762.6059,2154.4512,72.168411
2015,Asia,0,2,1,3,167.79372,189.56018,27.362793,6.6393895,25.933638,3.6018767,36.641815,70.624741,919.55011,2254.2927,156.37875
2015,Asia,0,2,1,999,142.2518,187.29774,21.743912,6.0174007,21.471712,2.5170763,18.301199,66.620552,772.25873,2093.5479,73.051811
2015,Asia,0,2,999,1,112.20416,164.26564,23.666113,5.5251408,15.824357,2.4807057,13.000752,64.786957,742.39655,1973.8134,45.081657
2015,Asia,0,2,999,2,140.77245,194.27914,21.982586,6.3161573,22.989759,2.8490617,16.166885,65.962151,767.27985,2139.7896,64.810463
2015,Asia,0,2,999,3,157.04424,182.5677,26.570833,7.5755434,24.025686,3.9133687,33.986168,69.686256,918.82544,2236.6343,138.14249
2015,Asia,0,2,999,999,129.32214,178.56374,23.367123,6.1026077,19.728178,2.8107586,16.947165,65.881989,774.88373,2073.561,64.848274
2015,Asia,0,7,0,1,109.36585,188.65976,36.373177,3.6525559,35.954269,68.440979,12.405528,62.95348,473.06232,1674.0211,34.100746
2015,Asia,0,7,0,2,139.11732,227.34518,31.722658,4.4815631,53.202118,77.221703,15.480136,63.957886,488.39471,1828.9943,46.253162
2015,Asia,0,7,0,3,157.26305,212.22778,35.351482,6.2310543,54.342228,104.29182,31.1073,67.128212,580.31,1896.9133,93.871216
