year,superregion2,female,adult,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2000,Asia,0,0,0,1,93.095833,214.89626,24.714338,3.9552786,49.200027,58.834408,10.506334,47.779175,402.07376,1252.3627,33.892807
2000,Asia,0,0,0,2,112.92794,258.15771,26.378874,4.0371695,68.276611,57.730656,11.210423,47.7621,410.0965,1308.4652,44.721348
2000,Asia,0,0,0,3,132.49568,277.80716,23.528021,5.020082,72.477142,61.440231,14.483405,47.517597,433.10196,1385.9812,67.657669
2000,Asia,0,0,0,999,112.94758,251.59798,25.092644,4.2958217,64.104492,59.104977,11.950127,47.696827,414.42953,1314.8728,48.243874
2000,Asia,0,0,1,1,112.76802,225.61133,25.577934,4.8037705,54.418716,55.247463,14.797537,49.429726,424.2973,1267.5853,46.133316
2000,Asia,0,0,1,2,136.28049,262.86456,27.944489,5.0325751,73.311089,64.771339,17.745384,50.191162,443.23474,1389.5914,68.335693
2000,Asia,0,0,1,3,158.19615,264.241,30.755766,5.4677148,74.523064,78.171967,28.773764,53.059803,499.88245,1634.5638,117.56992
2000,Asia,0,0,1,999,137.77856,254.04781,28.298441,5.1216083,69.012276,66.896126,20.711998,50.964153,457.52744,1441.4097,79.327461
2000,Asia,0,0,999,1,100.20529,218.76865,25.02644,4.2619209,51.086044,57.538101,12.05716,48.375683,410.10526,1257.8641,38.316483
2000,Asia,0,0,999,2,121.83222,259.95242,26.975838,4.4167156,70.196243,60.415253,13.70219,48.688297,422.73203,1339.3984,53.725452
2000,Asia,0,0,999,3,143.50737,271.99457,26.624836,5.2118759,73.353745,68.609146,20.606283,49.892223,461.71487,1492.4894,89.043175
2000,Asia,0,0,999,999,122.64069,252.55432,26.34407,4.6181788,66.020317,62.146358,15.370442,48.972275,431.25342,1364.2682,60.377777
2000,Asia,0,1,0,1,80.560707,254.55692,22.561823,4.4841194,44.215744,35.697266,3.1028473,45.541805,301.75455,1405.264,12.816513
2000,Asia,0,1,0,2,97.11586,299.02405,23.713449,4.3018909,60.013649,34.907024,3.1950572,45.587227,310.3533,1485.2142,16.872143
2000,Asia,0,1,0,3,112.92341,316.13593,23.392975,5.1394534,63.689102,37.762394,4.1602664,46.088993,333.30365,1601.8108,26.185793
2000,Asia,0,1,0,999,97.513992,292.42273,23.31139,4.6036325,56.940907,35.980476,3.4627264,45.727043,315.02078,1499.3197,18.616306
2000,Asia,0,1,1,1,97.153931,264.54391,24.309402,5.1022086,48.788879,34.939747,4.4878426,47.296665,319.1405,1453.1763,17.730299
2000,Asia,0,1,1,2,116.50294,300.70789,28.532646,4.9622068,64.102051,42.283188,5.4819093,48.625229,343.83154,1643.1793,28.337843
2000,Asia,0,1,1,3,133.54054,294.836,36.2416,4.8817997,64.430191,52.014091,9.5004845,52.671886,402.48907,1993.572,51.909721
2000,Asia,0,1,1,999,118.43919,290.44278,30.424149,4.9639783,60.791508,44.219849,6.7384887,49.817196,359.892,1729.5913,34.638264
2000,Asia,0,1,999,1,86.666771,258.23196,23.204906,4.7115669,45.89859,35.418507,3.6125052,46.187565,308.15231,1422.895,14.624714
2000,Asia,0,1,999,2,104.74667,299.68683,25.610298,4.5617929,61.622856,37.810299,4.0951676,46.782997,323.53043,1547.3898,21.385069
2000,Asia,0,1,999,3,122.31924,306.42896,29.248466,5.0220332,64.02684,44.257305,6.5939589,49.089008,364.83344,1780.3478,37.908932
2000,Asia,0,1,999,999,106.04524,291.61551,26.211281,4.7505465,58.510803,39.339687,4.7982631,47.394608,333.31488,1593.202,25.1485
2000,Asia,0,999,0,1,85.21608,239.82751,23.361237,4.2877154,46.066837,44.290073,5.8523984,46.372734,339.01169,1348.4786,20.643951
2000,Asia,0,999,0,2,102.7541,284.45203,24.663883,4.2074971,62.960041,43.045433,6.0531616,46.36274,345.91956,1422.1895,26.802563
2000,Asia,0,999,0,3,119.66984,302.92426,23.439524,5.0983071,66.718285,45.923981,7.7185812,46.581425,367.70343,1527.4159,40.480862
2000,Asia,0,999,0,999,103.02473,277.84579,23.947407,4.4937248,59.498745,44.237343,6.4932499,46.430378,350.51581,1433.4608,29.195169
2000,Asia,0,999,1,1,102.84949,250.34242,24.772125,4.9933472,50.84248,42.347412,8.2485199,48.074741,357.49863,1385.478,28.090897
