year,superregion2,female,age,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
2010,FSU,999,92,999,3,87.28698,112.72716,30.153784,1.419439,44.075298,15.882661,21.500969,81.3479,756.3327,3422.7295,214.96193
2010,FSU,999,92,999,999,88.085159,113.86872,39.681709,1.3791229,43.365112,16.439003,20.162552,80.548622,748.82404,3395.2285,207.83923
2010,FSU,999,97,0,1,74.644814,99.300323,185.5209,1.0164849,41.732044,16.47945,13.570494,72.524879,705.90485,3151.3142,206.21783
2010,FSU,999,97,0,2,86.973366,105.45185,81.139114,1.3070157,35.981625,15.820603,13.119391,74.719231,684.67737,3180.5898,202.54404
2010,FSU,999,97,0,3,82.921707,101.73026,49.890884,1.3892462,39.909653,13.827331,17.708309,77.562759,720.75165,3272.1328,232.45294
2010,FSU,999,97,0,999,83.407227,102.42786,63.339027,1.3530862,39.137241,14.393301,16.501068,76.694344,712.12152,3246.188,224.62027
2010,FSU,999,97,1,1,74.579605,100.44726,118.50626,.97644675,45.931679,18.776844,16.550325,76.562035,759.5459,3183.1677,206.34505
2010,FSU,999,97,1,2,87.603104,108.04536,49.223412,1.0960802,39.722672,18.352879,16.200583,79.444153,747.0058,3233.1936,206.51552
2010,FSU,999,97,1,3,82.318428,102.57285,28.150084,1.2430779,44.135708,16.256889,21.913946,82.044373,792.23438,3344.1914,237.70255
2010,FSU,999,97,1,999,83.0588,103.57092,35.86581,1.2035469,43.334076,16.770174,20.573961,81.315018,782.01062,3315.9255,230.30638
2010,FSU,999,97,999,1,74.604973,100.00102,144.57948,.9920243,44.297737,17.883003,15.39097,74.99131,738.6759,3170.7747,206.29556
2010,FSU,999,97,999,2,87.374336,107.10318,60.817947,1.1727102,38.363602,17.43294,15.081229,77.727661,724.36279,3214.0835,205.07274
2010,FSU,999,97,999,3,82.517792,102.2944,35.334732,1.2913818,42.739128,15.453996,20.524113,80.563332,768.61157,3320.3782,235.96771
2010,FSU,999,97,999,999,83.177155,103.18264,45.198025,1.2543429,41.908478,15.962788,19.190464,79.745445,758.27045,3292.2368,228.37489
2010,FSU,999,999,0,1,92.488937,109.91697,280.48993,5.377419,53.0368,103.52415,34.586571,74.301888,711.38153,3370.0396,106.05352
2010,FSU,999,999,0,2,101.66008,115.83096,95.302902,9.3961515,47.484058,98.7341,30.708839,75.125099,679.87109,3392.604,109.58634
2010,FSU,999,999,0,3,95.779205,112.87608,63.694439,10.041805,53.571537,83.188889,40.104553,78.073006,705.50775,3494.2876,124.67233
2010,FSU,999,999,0,999,96.902443,113.35909,84.341194,9.6053581,52.163319,87.966911,37.638657,77.172241,700.0835,3463.5803,120.10498
2010,FSU,999,999,1,1,91.909584,113.8704,191.18719,4.9589505,60.217968,115.31821,41.254234,78.299858,756.16528,3411.9797,108.90536
2010,FSU,999,999,1,2,103.0387,123.91339,62.673958,6.3828821,53.886436,108.38536,37.774529,79.892448,733.32422,3482.0728,114.17444
2010,FSU,999,999,1,3,95.783424,118.50089,35.729904,6.892724,60.220375,92.509651,50.018822,83.249596,767.76477,3594.6091,130.4222
2010,FSU,999,999,1,999,97.046013,119.35663,48.826981,6.6947908,58.950577,96.821182,47.130478,82.331596,760.28668,3563.0093,126.10003
2010,FSU,999,999,999,1,92.148712,112.23863,228.04663,5.1316719,57.25396,110.45024,38.502174,76.649704,737.68091,3394.6689,107.72827
2010,FSU,999,999,999,2,102.50628,120.79193,75.275383,7.5466185,51.413815,104.65801,35.045734,78.051285,712.68042,3447.5198,112.4025
2010,FSU,999,999,999,3,95.781967,116.55243,45.41695,7.9835811,57.917187,89.280891,46.584469,81.456398,746.19861,3559.8572,128.4304
2010,FSU,999,999,999,999,96.994568,117.20751,61.552917,7.7377453,56.518475,93.648399,43.72924,80.482826,738.71387,3527.3806,123.9518
2010,HIC,0,2,0,1,140.38345,58.396355,20.540192,3.656512,30.243477,137.33575,44.526993,66.081673,1145.9352,2953.6604,327.29636
2010,HIC,0,2,0,2,158.40166,63.557781,19.739611,4.5164237,29.226845,113.64011,55.647263,67.262306,1194.0432,3013.9993,333.63712
2010,HIC,0,2,0,3,129.46817,63.068192,17.848206,3.7905581,26.874596,135.33492,80.349342,69.18924,1231.6616,3061.7324,346.31439
2010,HIC,0,2,0,999,136.62006,63.023819,18.383106,3.95609,27.540541,130.31918,73.340828,68.631859,1219.9269,3046.8665,342.69598
