year,superregion2,female,age,urban,edu,v01_wt_median,v02_wt_median,v05_wt_median,v06_wt_median,v10_wt_median,v15_wt_median,v16_wt_median,v23_wt_median,v36_wt_median,v41_wt_median,v57_wt_median
1995,Asia,0,2,0,1,92.894173,196.98506,20.949804,5.0713067,22.125605,2.1719887,13.456473,46.533703,601.22351,1276.6675,47.608601
1995,Asia,0,2,0,2,113.13174,230.31813,24.209448,5.4671149,30.555458,2.5370727,16.102005,47.287292,622.2088,1336.5186,66.456505
1995,Asia,0,2,0,3,131.42554,247.72675,20.093189,5.5849056,32.812386,2.4747674,21.461884,46.984604,652.39423,1385.543,96.562103
1995,Asia,0,2,0,999,110.82847,223.30981,22.053942,5.3614273,28.24094,2.3963959,16.55093,46.952927,622.65424,1328.4237,67.613205
1995,Asia,0,2,1,1,111.65425,203.0618,20.401131,6.7428021,23.915592,2.2848563,19.066765,48.500118,633.94409,1330.8368,66.715988
1995,Asia,0,2,1,2,135.29951,229.32127,24.818848,7.7698007,32.8633,3.176892,27.728899,50.4506,677.05664,1486.225,106.73293
1995,Asia,0,2,1,3,154.86874,228.99307,25.705467,7.4887767,35.504765,3.5919807,47.660915,53.665482,757.08752,1724.4237,176.24608
1995,Asia,0,2,1,999,134.12065,221.30315,23.756351,7.3746562,30.968485,3.0341382,31.178406,50.840126,688.39453,1511.8074,115.80572
1995,Asia,0,2,999,1,98.914986,198.93532,20.773714,5.6077518,22.700079,2.2082124,15.257024,47.164799,611.72479,1294.0525,53.740875
1995,Asia,0,2,999,2,120.73543,229.97621,24.418478,6.2569509,31.347063,2.7565351,20.090103,48.372326,641.02197,1387.8689,80.271576
1995,Asia,0,2,999,3,140.62242,240.37743,22.294912,6.3318033,33.868618,2.9130554,31.739891,49.605545,693.46588,1518.4875,127.82252
1995,Asia,0,2,999,999,118.95998,222.60927,22.648268,6.0642633,29.19315,2.6190374,21.657511,48.309982,645.60474,1392.4446,84.43763
1995,Asia,0,7,0,1,102.96204,251.75914,27.046984,3.1388373,56.778366,46.393169,12.007854,44.64278,367.90451,1079.7843,36.462952
